#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6155.895756492328    All      1.1466291888553255         -0.077423559654477        -0.1397038129696826        -0.404948589865358        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4319.744317122917    All      -1.0886704871045438        0.7935225967557358        0.16527115460517328        0.6204675022935467        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5342.202180220644    All      0.33783975055716325        0.34756127380255464       -0.9260328618319491        -0.0381579735588227       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7499.86845110397     All      0.6022731234233398         -0.06479354422346262      0.9095288004272062         -0.17669746644569226      
Check         All|All|All                                All                  All      0.9980715757312846         0.9988667666803508        0.009063280230747761       0.0006634724236738165     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6155.895756492328    All      -0.00032244266243634974    1.7325808687784148e-05    -1.902795472880817e-05     0.00010982463886849745    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4319.744317122917    All      -0.0002848980794991471     8.518111362900129e-05     -0.0008925965498536105     8.071448397335626e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5342.202180220644    All      8.891586778554058e-05      6.40353668140114e-05      4.9617550237183246e-05     -5.89019432867592e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7499.86845110397     All      -0.00016679192772351827    2.753877521507645e-05     -0.00013553845430397176    5.725144452734547e-05     
MWEBV         All|All|All                                All                  All      -0.8586179833950154        -4.002100282576038        0.16346337066122096        -1.0166409828665912       
Redshift      All|All|All                                All                  All      3.9302956592648846         -0.05868920844989134      -6.482252816002054         -1.5886167763866637       
