#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6155.895756492328    All      1.1523437317363687         -0.0929901563628377       -0.3387462441507985       -0.42076290669311595       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4319.744317122917    All      -1.0486793182954681        0.7879670161818453        0.30187058720961507       0.6117272328746028         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5342.202180220644    All      0.3591942549573677         0.37700381470209265       -0.5545067640337545       -0.01894393059540696       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7499.86845110397     All      0.5351402812749815         -0.07348595773528643      0.595802501355715         -0.17166166004056513       
Check         All|All|All                                All                  All      0.9979989496732498         0.9984947167858138        0.004420080380777014      0.0003587355455147989      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6155.895756492328    All      -0.00029380806808217206    2.5590849994261673e-05    1.3691304823863605e-06    0.00010409983353502303     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4319.744317122917    All      -0.0003380650330661898     0.00010569010575198067    -0.0010747478471297034    9.658458754443033e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5342.202180220644    All      8.074557368200589e-05      6.146588653270964e-05     -2.064476357954267e-05    -7.2013093679783686e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7499.86845110397     All      -0.00017183974575535937    2.7383331622853908e-05    -0.0001506864527591402    5.816906623785377e-05      
MWEBV         All|All|All                                All                  All      -0.8554297179244994        -4.006471546645329        0.12717035844294367       -1.020722960786367         
Redshift      All|All|All                                All                  All      4.237450503657344          -0.23514798677624071      -6.17383344884873         -1.7323823038846455        
