#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4155.018176574065    All      -0.5728493782742621        0.19314333073090495       -2.217884661857883        0.1505350196516733         
Zeropoint     AB|PS|PS_g                3271.842746943733    All      -0.39676187608175956       0.23114132417667577       0.7279586249402242        0.2370141797639238         
Zeropoint     AB|PS|PS_i                5032.626891960984    All      0.5888208687275911         0.26052234739424307       0.9204098526901419        -0.06586396466280084       
Zeropoint     AB|PS|PS_z                5783.716294173747    All      1.3749320767482174         0.31505952854047337       0.5841404124674627        -0.31916785397384423       
Check         All|All|All               All                  All      0.9941416911197871         0.9998665308422972        0.014624228239945802      0.002517380778951972       
Lambda        AB|PS|PS_r                4155.018176574065    All      -0.000506330846567808      8.354819429418109e-05     -0.0019361356658999566    0.0001057421676331254      
Lambda        AB|PS|PS_g                3271.842746943733    All      -0.0008960018566384908     0.000486455427365077      0.0013300639244860654     0.0005096664630808335      
Lambda        AB|PS|PS_i                5032.626891960984    All      -0.00012549520392568836    -6.327110946225884e-05    -0.0008641756419677543    -1.8295755207215903e-05    
Lambda        AB|PS|PS_z                5783.716294173747    All      -0.0005090850907349459     -8.876923253398948e-05    0.00017879120296103026    0.00014488933322691128     
MWEBV         All|All|All               All                  All      -0.3954740116275457        -2.2629956826239805       0.47185176912829796       -0.5872566705621688        
Redshift      All|All|All               All                  All      8.033529152257838          1.313907664524372         9.73171473347231          -1.754520055129563         
