#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4155.018176574065    All      -0.6573235640463353        0.22735858827029887       -2.175209675166634        0.19110046476182585       
Zeropoint     AB|PS|PS_g                3271.842746943733    All      -0.48941850572366147       0.11440623677714257       -0.05495582619849948      0.19423315775622466       
Zeropoint     AB|PS|PS_i                5032.626891960984    All      0.7324756090901473         0.3174686950048411        1.3267638116900016        -0.07597402992956873      
Zeropoint     AB|PS|PS_z                5783.716294173747    All      1.4307299103875488         0.33534995599087125       0.9091733258920986        -0.3162290582245798       
Check         All|All|All               All                  All      1.0164634497076992         0.9945834760431538        0.005771636216966858      -0.006869465636098027     
Lambda        AB|PS|PS_r                4155.018176574065    All      -0.00031179638810324695    0.0001011782290838351     -0.0012908316052535748    7.691553331183788e-05     
Lambda        AB|PS|PS_g                3271.842746943733    All      -0.0009394863052308185     0.00035732457564344693    0.00041634285159707307    0.0004409934369847116     
Lambda        AB|PS|PS_i                5032.626891960984    All      -0.00016498715776757023    -3.612223695972558e-05    -0.0006953778888932594    1.0944022810901665e-05    
Lambda        AB|PS|PS_z                5783.716294173747    All      -0.000593020327653175      -0.0001464369649974082    -0.0004808770414623517    0.0001240075596011155     
MWEBV         All|All|All               All                  All      -0.3052129378277215        -2.2351621225428886       0.8624424891319982        -0.5901610956690825       
Redshift      All|All|All               All                  All      7.529334011943556          0.9963003396800119        7.007139486549674         -1.815327544822879        
