#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5654.435761940872     All      1.0827481440249103         0.16978188265781569        -0.6717872940573704        -0.32736192855145096       
Zeropoint     AB|SDSS|SDSS_z            6722.65277480108      All      0.20599724503002814        0.03090005129813278        0.2638172112389874         -0.045261966056076255      
Zeropoint     AB|SDSS|SDSS_r            4662.780033806962     All      0.7449309511388795         0.49464288787515187        0.7550954204433895         -0.04783061585113463       
Zeropoint     AB|SDSS|SDSS_g            3568.3601923218957    All      -1.036888750339981         0.3034259327446165         -0.34062829148114365       0.421383911124326          
Check         All|All|All               All                   All      0.9967875898538371         0.9987507545757168         0.006497046143862872       0.0009294006656641596      
Lambda        AB|SDSS|SDSS_i            5654.435761940872     All      -0.00019931755969965833    -3.5188918104646706e-05    4.4231566417615174e-05     5.5435949900398994e-05     
Lambda        AB|SDSS|SDSS_z            6722.65277480108      All      -9.697819585148746e-05     -1.607575393954237e-05     -0.00015929275492131581    1.9244082895024375e-05     
Lambda        AB|SDSS|SDSS_r            4662.780033806962     All      -0.00029088351239915666    -0.00012414557977659743    -0.0014969887755118807     -1.2491703460120036e-05    
Lambda        AB|SDSS|SDSS_g            3568.3601923218957    All      -0.001851301240073072      0.00044565803306376584     -0.001636743427212609      0.0006751548611103291      
MWEBV         All|All|All               All                   All      -0.5944644534811752        -2.7706516249107693        0.02208638007593333        -0.7078701424622773        
Redshift      All|All|All               All                   All      8.171480312385102          0.44630335824038525        2.5997412225420375         -2.400329774155198         
