#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5654.435761940872     All      0.9655226907676485         0.1964492976231469         -0.35056363735548324      -0.26615655096488694      
Zeropoint     AB|SDSS|SDSS_z            6722.65277480108      All      0.13767357152810794        0.02800688793946904        0.25454842876841965       -0.024362719494255836     
Zeropoint     AB|SDSS|SDSS_r            4662.780033806962     All      0.9357730163319922         0.5168630745464142         0.8570400320674465        -0.09820698937861166      
Zeropoint     AB|SDSS|SDSS_g            3568.3601923218957    All      -1.0384179746975648        0.2578962935967155         -0.7520444197069653       0.3886919162196828        
Check         All|All|All               All                   All      1.0005513039301839         0.9992155537057457         0.008980403773417578      -3.434361807164166e-05    
Lambda        AB|SDSS|SDSS_i            5654.435761940872     All      -0.00019520358371062456    -3.673944541501804e-05     0.00030162201993438637    6.507698860801872e-05     
Lambda        AB|SDSS|SDSS_z            6722.65277480108      All      -8.699998148263948e-05     -1.598372942564336e-05     -9.032715904805828e-05    1.9101443409580502e-05    
Lambda        AB|SDSS|SDSS_r            4662.780033806962     All      -0.0003911011848848897     -0.00013515288381255744    -0.0014555583287685467    1.841589903291249e-05     
Lambda        AB|SDSS|SDSS_g            3568.3601923218957    All      -0.0014960541345777664     0.000375385102425691       -0.001593608791977337     0.0005384738868086522     
MWEBV         All|All|All               All                   All      -0.635277256217798         -2.762100948960189         0.01665446097761647       -0.6920332350451003       
Redshift      All|All|All               All                   All      7.484040048863273          0.7157139124087664         1.8000786511039202        -2.1243372512225633       
