#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W          3904.4242365248997    All      -3.8752275014996838      0.2615531051246123        -0.20532985955068658      1.338322611031222          
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4547.347664510732     All      4.870618882857405        0.7398106909194624        0.2045380376257473        -1.3364125344570736        
Check         All|All|All                  All                   All      0.9953913813577222       1.0013637960440747        -0.0007918219249392899    0.0019100765741484338      
Lambda        VEGAHST|ACSWF|F775W          3904.4242365248997    All      -0.005518668627625495    0.0003288579000725799     -0.0007856341139806076    0.0018696725257598473      
Lambda        VEGAHST|ACSWF|F850LP_3pix    4547.347664510732     All      0.000455948201052065     -5.146067546529309e-05    -0.0017706537528435473    -0.00024429590900877006    
MWEBV         All|All|All                  All                   All      0.061184744950284475     -1.5301523314585452       0.000859023504772677      -0.5183125049474514        
Redshift      All|All|All                  All                   All      5.674784157101974        1.0174641262979733        2.8242380419913484        -1.3910095827528293        
