#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W          3904.4242365248997    All      -3.9181669831096455       0.21860708632370773       -0.8286967894376058       1.3105024785929646        
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    4547.347664510732     All      4.912802475178061         0.7828242680774977        0.8304124572907939        -1.3082122802774347       
Check         All|All|All                  All                   All      0.9946354920684153        1.0014313544012055        0.0017156678531881076     0.002290198315529901      
Lambda        VEGAHST|ACSWF|F775W          3904.4242365248997    All      -0.0050501167704240105    0.00029499829569680795    -0.0007621507932025896    0.0017070685366293368     
Lambda        VEGAHST|ACSWF|F850LP_3pix    4547.347664510732     All      0.000251102282678149      -7.469300402610101e-05    -0.0017556524447977222    -0.0001844689484174391    
MWEBV         All|All|All                  All                   All      0.05788682501004194       -1.5299557890921633       0.0017752951305197162     -0.517133354615415        
Redshift      All|All|All                  All                   All      5.502093477797025         1.1434675971072394        2.5645231367053203        -1.3053049547104747       
