#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          5013.821075804627     All      0.26628672232608364       0.42381313352244376        -0.39542768892819957       0.033665412968468         
Zeropoint     AB|DECam|DECam_i          6091.166368822393     All      0.8557718057114583        0.06461051616870606        -0.37627863638955517       -0.2744988477941763       
Zeropoint     AB|DECam|DECam_z          7137.951129521315     All      0.6107085443160717        0.02743501588504671        0.6630656737714055         -0.16040180166916693      
Zeropoint     AB|DECam|DECam_g          3772.4159715797596    All      -0.7364461954429624       0.48264556781472123        0.11095695127099325        0.4020497933491237        
Check         All|All|All               All                   All      0.9963208769106512        0.9985042333909178         0.0023162997246439776      0.0008145568542484716     
Lambda        AB|DECam|DECam_r          5013.821075804627     All      -0.0001983144241990114    -6.246844537212122e-05     -0.0017238839367135158     -3.267951807910798e-05    
Lambda        AB|DECam|DECam_i          6091.166368822393     All      -8.722748683856562e-05    -2.1446499197805574e-05    -0.00028280252441000134    8.806854005403861e-06     
Lambda        AB|DECam|DECam_z          7137.951129521315     All      -0.0002581447763209072    -2.4231583341728684e-05    -0.0005051808973612912     5.364931923149239e-05     
Lambda        AB|DECam|DECam_g          3772.4159715797596    All      -0.0010887082062446068    0.0005922261598729051      -0.0006521202484449985     0.0005184344925343802     
MWEBV         All|All|All               All                   All      -0.46855709775058285      -2.9184883399880235        0.11473348782782329        -0.7929031773306283       
Redshift      All|All|All               All                   All      5.7485350160044595        0.12230775087633816        5.815523552455029          -1.5731272112188217       
