#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6227.205267019777    All      1.3160969269295029         -0.08014609431139519       0.14826462841399657       -0.4481859176378439       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4233.169492554058    All      -0.9915618512541038        0.661071235033095          -0.2297391812436489       0.5280647617123189        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5225.047345020937    All      0.22524485833621494        0.5207285861903443         -0.11184887825368417      0.09125746955484519       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8046.690402788714    All      0.44614996943734564        -0.10354868065949319       0.19050559272997258       -0.170553545241965        
Check         All|All|All                       All                  All      0.9959299034489596         0.9981050462525509         -0.0028178383533639106    0.000582768387355187      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6227.205267019777    All      -0.00023605055792781296    -1.3747649563692357e-06    -9.840327756644963e-05    7.205034004717919e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4233.169492554058    All      -0.0008016368521649336     0.0003809919370941709      -0.0009432269613210591    0.00034312921679417567    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5225.047345020937    All      1.6572329260900856e-06     0.00012854825763981855     -0.001087112488867743     -7.180256111124544e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8046.690402788714    All      -2.215136998205744e-05     -7.036102800739061e-06     -3.939850417320555e-05    3.165365508009517e-06     
MWEBV         All|All|All                       All                  All      -0.8142880093266944        -4.008764497923689         0.03460768284206939       -1.0390017055529743       
Redshift      All|All|All                       All                  All      7.031053278392055          -1.399002314967035         4.8255883825808255        -2.530602600959452        
