#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6227.205267019777    All      1.3556065841649636         -0.12300586122231394      -0.09955415329171864       -0.48607536299291304      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4233.169492554058    All      -1.000275733629192         0.6525218626943996        -0.09016099831541052       0.5343470812880718        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5225.047345020937    All      0.24443890858709122        0.5694203917840923        0.039391080919226266       0.10761500367522316       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8046.690402788714    All      0.39803346738264195        -0.10082249486060846      0.15197358063455285        -0.1557119158619924       
Check         All|All|All                       All                  All      0.9978032265055047         0.9981138983955695        0.001649509946649974       0.0001748061083895469     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6227.205267019777    All      -0.00034390902407361673    2.1977379476826665e-06    -0.00048104826184209725    9.127138441333291e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4233.169492554058    All      -0.0007597065446880583     0.00036670872707811233    -0.0007337196379875242     0.0003341679743849772     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5225.047345020937    All      4.132323813319922e-06      0.00015490958279915527    -0.0011904220179119677     -4.009953572672389e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8046.690402788714    All      -1.4301919147729659e-05    -4.712007963103885e-06    -5.7679234305564034e-05    5.497902556232902e-07     
MWEBV         All|All|All                       All                  All      -0.8213335966107866        -4.0052913008123525       0.03069799270714479        -1.03574986293182         
Redshift      All|All|All                       All                  All      6.837745084128925          -1.4091374625277098       3.5566003718597186         -2.527566220101581        
