#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          4257.784419512348    All      0.33004536468845147        0.44977244602346644       0.0023911570207424404      0.039105755650441915       
Zeropoint     AB|DECam|DECam_i          5172.676262219333    All      0.6500058900575167         0.24049993251331614       0.17683834127524278        -0.125498079735991         
Zeropoint     AB|DECam|DECam_z          6061.615810978871    All      0.773373762747828          0.19000609653065936       0.546346666601405          -0.16564109866214205       
Zeropoint     AB|DECam|DECam_g          3203.571428829689    All      -0.7544667369991974        0.11771593336948882       -0.7074773782334898        0.25252712363214924        
Check         All|All|All               All                  All      0.9989582804945988         0.9979944084369308        0.018098786663900412       0.0004937008844581037      
Lambda        AB|DECam|DECam_r          4257.784419512348    All      -2.8016922785873753e-05    0.00013856899804482283    -0.0011428506833844978     3.2623378524496332e-06     
Lambda        AB|DECam|DECam_i          5172.676262219333    All      0.00010318422911131184     5.6044593096905824e-05    -0.000896064280951354      -5.534216368232623e-05     
Lambda        AB|DECam|DECam_z          6061.615810978871    All      1.886276277689438e-05      2.317717423695547e-06     -0.00015062465073765904    -1.2110951955784406e-05    
Lambda        AB|DECam|DECam_g          3203.571428829689    All      -0.0016015743414769402     7.466676371686794e-05     -0.0030810271828650157     0.0004085147821307169      
MWEBV         All|All|All               All                  All      -0.5864325519919309        -2.2369842505160165       0.40120144738122754        -0.5197352118022337        
Redshift      All|All|All               All                  All      4.174030885009049          0.6317295195437111        5.581863747079607          -0.9047511505261993        
