#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_r          4257.784419512348    All      0.1656861387322923         0.4505064907268874        -0.3307126864487179        0.07801717066811752       
Zeropoint     AB|DECam|DECam_i          5172.676262219333    All      0.6334022430618648         0.223321255694664         -0.0005716918998316078     -0.13360238083305465      
Zeropoint     AB|DECam|DECam_z          6061.615810978871    All      0.8168349764714835         0.17350040964529967       0.2933280168207577         -0.19646535131001303      
Zeropoint     AB|DECam|DECam_g          3203.571428829689    All      -0.6214847186554087        0.1508903798832506        0.040996579480833024       0.25341746903176987       
Check         All|All|All               All                  All      0.9944386396102317         0.9982185359501017        0.0030402179530412757      0.0013669075568197298     
Lambda        AB|DECam|DECam_r          4257.784419512348    All      -0.0001479142073895597     8.790359671631594e-05     -0.0014182389040777986     1.3524128419288996e-05    
Lambda        AB|DECam|DECam_i          5172.676262219333    All      0.00013980240374656975     3.9347639294984295e-05    -0.0009098514868883832     -7.332391470856481e-05    
Lambda        AB|DECam|DECam_z          6061.615810978871    All      -0.00011690418407123878    -3.411848586213402e-05    -0.0003931881019700718     9.419846331988568e-06     
Lambda        AB|DECam|DECam_g          3203.571428829689    All      -0.001701851662300486      0.00036180773084482613    -0.00039859107607191706    0.0006544144676623646     
MWEBV         All|All|All               All                  All      -0.5465880253857966        -2.264692350068387        0.09918744180187113        -0.5552168225262977       
Redshift      All|All|All               All                  All      4.961470627252469          -0.15148100280768517      -1.13302301482736          -1.7160181703881117       
