#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4925.890532175575     All      1.7219854811999595         0.5049712551471686        0.235163211418013          -0.3859273179441444        
Zeropoint     AB|MEGACAMPSF|r           4028.352649281354     All      -1.2150060448890079        0.4178326638735186        -0.26967746707539375       0.5198348194700969         
Zeropoint     AB|MEGACAMPSF|z           5674.555118973136     All      0.8357312311666732         0.017371337817273513      0.05261441452134863        -0.26421880083386806       
Zeropoint     AB|MEGACAMPSF|g           3157.3440354566737    All      -0.3560540583556395        0.05998551810684205       -0.011265142231550729      0.13501506579047529        
Check         All|All|All               All                   All      0.9866566091219855         1.0001607749448027        0.006835016632417146       0.0047037664825597125      
Lambda        AB|MEGACAMPSF|i           4925.890532175575     All      -0.00011464830882128811    -0.0001366944073498189    -0.002141656800696392      -0.00010275344632701517    
Lambda        AB|MEGACAMPSF|r           4028.352649281354     All      -0.0009703024827520325     0.0002902763280447315     -0.0004974687256730387     0.0003884122460519732      
Lambda        AB|MEGACAMPSF|z           5674.555118973136     All      -8.935673132486231e-05     4.4000471280622434e-07    -0.00012500921329572102    2.367116410949666e-05      
Lambda        AB|MEGACAMPSF|g           3157.3440354566737    All      -0.0011523669346293233     0.00018934996271964888    -0.00011267615668397949    0.0004320131152714225      
MWEBV         All|All|All               All                   All      -0.31390292658696395       -2.211171931311462        0.06206812385362859        -0.6152331178360101        
Redshift      All|All|All               All                   All      5.115827893241132          0.4247342645744112        7.069465554043433          -1.2125657484569285        
