#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4925.890532175575     All      1.689641922640634         0.5244702757421393         0.28009946895207005       -0.3670351855544173       
Zeropoint     AB|MEGACAMPSF|r           4028.352649281354     All      -1.1297832753896841       0.39269591682451477        -0.3014481853385274       0.4824693129716029        
Zeropoint     AB|MEGACAMPSF|z           5674.555118973136     All      0.7697562384405475        0.024210261307722192       0.0014711653713695046     -0.24278320113255628      
Zeropoint     AB|MEGACAMPSF|g           3157.3440354566737    All      -0.34311437515516496      0.05877346003959616        0.024532263911619754      0.13200285190575017       
Check         All|All|All               All                   All      0.9865005105363321        1.0001499139139725         0.004654712896531903      0.004653778190379515      
Lambda        AB|MEGACAMPSF|i           4925.890532175575     All      -0.0003677657464025653    -0.00017697564011764702    -0.0021431829449971847    -3.349379712693684e-05    
Lambda        AB|MEGACAMPSF|r           4028.352649281354     All      -0.0007218153938258752    0.0002427920298574587      -0.000280404245410182     0.00030169121891274886    
Lambda        AB|MEGACAMPSF|z           5674.555118973136     All      -0.000107888369980057     -3.391823802693554e-06     -7.479700283881829e-05    3.070011621773464e-05     
Lambda        AB|MEGACAMPSF|g           3157.3440354566737    All      -0.0009488570954713125    0.00015561363338701032     -4.274298700025102e-05    0.0003578550291984653     
MWEBV         All|All|All               All                   All      -0.3317647735115816       -2.2099141258101085        0.05056831217654521       -0.6095184018014137       
Redshift      All|All|All               All                   All      4.677976346427672         0.7822346756549692         5.866784377474361         -1.0071635866640765       
