#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                5885.164385748378     All      0.7539035047565781        0.08379548848029827       -1.542558940678745        -0.28711354760562474      
Zeropoint     AB|PS|PS_g                3329.2318348117014    All      -0.8394215014651559       0.10333761251217766       -1.9189509044715363       0.22145369383216063       
Zeropoint     AB|PS|PS_i                5120.900653644439     All      0.6304298170745256        0.2559915992911499        -1.1818122032343816       -0.17470569694673813      
Zeropoint     AB|PS|PS_r                4227.898422255543     All      0.45061814001639355       0.5556977315958278        4.662522152556741         0.24229482947221756       
Check         All|All|All               All                   All      0.9955299603823413        0.9988224318794536        0.019200104172077737      0.0019292787520153176     
Lambda        AB|PS|PS_z                5885.164385748378     All      -0.000539721692148449     -6.336277229520335e-05    0.000851928591490625      0.00019318343221089943    
Lambda        AB|PS|PS_g                3329.2318348117014    All      -0.0016203390634467836    0.00015815387444128323    -0.004477910422468522     0.0003794850846937718     
Lambda        AB|PS|PS_i                5120.900653644439     All      -7.956889870088448e-05    2.5800869143376056e-06    -0.0017642392758991457    -5.197126878923807e-05    
Lambda        AB|PS|PS_r                4227.898422255543     All      0.00011042577019410417    0.00018527758873319996    0.0011083987055067242     7.384444338551043e-05     
MWEBV         All|All|All               All                   All      -0.6096369590539048       -2.4017752026917805       -0.8521294790676863       -0.6217850105114491       
Redshift      All|All|All               All                   All      1.9891112799847577        -0.11568781554807117      -7.578227056522699        -1.0237837792431397       
