#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                5885.164385748378     All      0.7957278594629169         0.060807169396781546      -2.1959315742690277       -0.3373821875377825       
Zeropoint     AB|PS|PS_g                3329.2318348117014    All      -0.9396639330339821        0.13722229965011934       -1.8280493023679067       0.269199830052019         
Zeropoint     AB|PS|PS_i                5120.900653644439     All      0.6501963262613528         0.22797162258481052       -1.3096996885895829       -0.195978358636259        
Zeropoint     AB|PS|PS_r                4227.898422255543     All      0.4936566963791932         0.5736316479168835        5.377047000310009         0.26600338455379857       
Check         All|All|All               All                   All      0.9999169490694808         0.9996327395485949        0.043366435083491695      0.001842668431776051      
Lambda        AB|PS|PS_z                5885.164385748378     All      -0.00035066137036952514    2.740821325616334e-05     0.004230627315469017      0.000311943168027669      
Lambda        AB|PS|PS_g                3329.2318348117014    All      -0.00187545186878582       7.826654762922963e-05     -0.006379960563707178     0.00035168202579386517    
Lambda        AB|PS|PS_i                5120.900653644439     All      -0.00020013005697640677    -3.687509675482783e-05    -0.0028171228161747424    -7.253774123594815e-05    
Lambda        AB|PS|PS_r                4227.898422255543     All      0.0003151940963550408      0.00027503946594795945    0.0024203979003064135     9.493155763351703e-05     
MWEBV         All|All|All               All                   All      -0.5646923979225376        -2.405265297578829        -0.6785684095542033       -0.6298165380342727       
Redshift      All|All|All               All                   All      3.869247528158851          0.2258254962242745        5.085990710307531         -0.9598180145349983       
