#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4335.994158369671    All      -0.5221712982596491        0.28509330447423764       -0.15573694526116455       0.2560028147339112         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7496.568240786291    All      0.3474230127189759         -0.07871550430973429      0.10611284543742272        -0.13407200560383822       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3543.479073735607    All      -0.29298055922650035       0.08561971623270992       -0.007663774659638634      0.12298056623154391        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4736.667430002391    All      -0.26051316550745707       0.5315177717690744        0.20237576884287733        0.2670216344000019         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6131.394181936111    All      1.0913350632979142         -0.13961041833319143      0.11082080599735811        -0.39601401668060837       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.765764597127    All      0.6382720785229822         0.3261394024388409        -0.24115056853843964       -0.11243332377000245       
Check         All|All|All                              All                  All      1.001365131546266          1.0100442722719372        0.014758131818415343       0.003485669311007883       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4335.994158369671    All      -0.000444147027236143      0.00017038322297256887    -0.0007252622655181827     0.0001678075960367169      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7496.568240786291    All      -2.769281192813234e-05     1.0218321200618594e-06    -0.0001101373045409621     4.4383821909063165e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3543.479073735607    All      -0.0005400219526383183     0.00012951797223442535    -1.8875291979305532e-05    0.00021724886315035142     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4736.667430002391    All      -0.00018611012567741842    1.7574637700929214e-05    -0.0008115589032753047     3.0130681964049144e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6131.394181936111    All      -3.9784577154667034e-06    1.1157440224227465e-05    -0.00014835315179050963    -1.6900598878194305e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.765764597127    All      0.0003078358364062067      0.00011994242652055382    -0.0011507683860346996     -0.00011255657289003477    
MWEBV         All|All|All                              All                  All      -1.053421856518265         -3.984906793925802        0.002855823734893015       -0.954753644806468         
Redshift      All|All|All                              All                  All      6.044059268660927          -0.9968672158507275       9.821302975823153          -1.8551817514084308        
