#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4335.994158369671    All      -0.519071754352213         0.3022090137630329        -0.10748625020141515       0.2627215478298541        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7496.568240786291    All      0.35565083251955937        -0.07401409871921061      0.15175104240598877        -0.13318405160558616      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3543.479073735607    All      -0.2820773694889128        0.0971873184739458        -0.03358293039271596       0.12204033436451354       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4736.667430002391    All      -0.27849768258194296       0.4843746887589262        0.05757619148307814        0.2510619900892674        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6131.394181936111    All      1.1075191199922465         -0.09555980235500527      0.08050873678009837        -0.3882896499701558       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.765764597127    All      0.6104976637605182         0.28369515788133626       -0.14890353854045693       -0.11309520868378652      
Check         All|All|All                              All                  All      0.9940208098492551         0.9978922778030253        -0.000136748465422748      0.00125496202410659       
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4335.994158369671    All      -0.00040738225065019805    0.00017370222994775476    -0.0005872362696833677     0.00016307267480499395    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7496.568240786291    All      -5.403982939959986e-05     2.103400657804455e-05     -0.00024711319177951754    1.342649143447899e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3543.479073735607    All      -0.0006320429892376011     0.00021983321243280969    -0.00025342983077856574    0.0002661746953921001     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4736.667430002391    All      -0.00021247307498114052    -6.2319783491316e-06      -0.0009422849234464008     2.5129661928290564e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6131.394181936111    All      -0.00011222602827444892    5.791938583108113e-05     -0.0006825655699781045     2.4962192514179063e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5296.765764597127    All      0.0002466849653662462      0.00015184162261232335    -0.001204223592283091      -8.463256511293366e-05    
MWEBV         All|All|All                              All                  All      -1.0354340920604121        -3.9820455486194284       0.006851682074301144       -0.9595025329364291       
Redshift      All|All|All                              All                  All      6.976998568541086          -0.9904326618570991       10.80772605968708          -2.112955296488943        
