#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4800.395855672844    All      0.1654154337992937        0.5785364074395005        3.3499310154470994        0.28405912793370014       
Zeropoint     AB|PS|PS_z                6682.071304879703    All      1.5795467938444632        0.11324615925367709       7.76896159638537          -0.13092928204755383      
Zeropoint     AB|PS|PS_g                3780.041312789664    All      -0.6332837047071461       0.41302491085062343       0.17597623202662005       0.3486701496239142        
Zeropoint     AB|PS|PS_i                5814.319035118323    All      -0.10122867104867739      -0.10283827873536211      -11.166642713030628       -0.49884027992569413      
Check         All|All|All               All                  All      1.0104498518879337        1.001969198808439         0.12822613082846246       0.0029597155843663625     
Lambda        AB|PS|PS_r                4800.395855672844    All      1.442400137954662e-05     3.716865273445688e-05     0.00017439530513429835    1.5191142722576266e-05    
Lambda        AB|PS|PS_z                6682.071304879703    All      -0.0011748253014796707    -9.476524212528413e-05    -0.005758948288941673     9.48156820095691e-05      
Lambda        AB|PS|PS_g                3780.041312789664    All      -0.0009368045318194988    0.0005923208345483981     -3.097153081793174e-06    0.0004979482268389874     
Lambda        AB|PS|PS_i                5814.319035118323    All      4.484530774223364e-05     9.78259071816878e-06      0.001434814890271569      5.260811822252121e-05     
MWEBV         All|All|All               All                  All      -0.45509561131768406      -2.9005992359193655       0.21753908895760232       -0.7868732147929935       
Redshift      All|All|All               All                  All      6.8778108433850615        0.5227717468333282        32.18506040928087         -0.633773882892591        
