#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                4800.395855672844    All      0.25571443840384556        0.5717211625844598        3.1689406823819626         0.2443490546146395         
Zeropoint     AB|PS|PS_z                6682.071304879703    All      1.2985575352263297         0.09533481921888409       5.9309231047435045         -0.12725936503504412       
Zeropoint     AB|PS|PS_g                3780.041312789664    All      -0.6877131504215606        0.3966568204072374        0.006214245446057849       0.35349228744459543        
Zeropoint     AB|PS|PS_i                5814.319035118323    All      0.13570325944526718        -0.06265702222876257      -9.014467132277936         -0.46688673576420425       
Check         All|All|All               All                  All      1.0022620826538817         1.0010557799818187        0.09161090029359009        0.003695241259986548       
Lambda        AB|PS|PS_r                4800.395855672844    All      -1.4632125679396982e-05    -2.834954549186288e-05    -0.00017997368925132457    -1.2499614084657124e-05    
Lambda        AB|PS|PS_z                6682.071304879703    All      -0.000974584344052266      -7.892662977695432e-05    -0.004295738403315469      0.00010004610847592587     
Lambda        AB|PS|PS_g                3780.041312789664    All      -0.0008793857187217982     0.0004668944054919724     -0.0006863642844786203     0.00040789844209778494     
Lambda        AB|PS|PS_i                5814.319035118323    All      1.0717168190341631e-05     1.2325992047205629e-05    0.002024705478876123       9.0877353245242e-05        
MWEBV         All|All|All               All                  All      -0.4780289375812159        -2.895264966247879        0.15415867422884977        -0.7804939056343032        
Redshift      All|All|All               All                  All      5.86934262982972           0.8858778724251337        22.008149790230046         -0.6411557772452997        
