#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7549.4425046188135    All      0.4494916055856317         -0.10534811499969265      0.3006482003387132         -0.16731300232538132      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5369.160551791031     All      0.40832716323664625        0.40737477886576556       -0.6400312293073683        -0.028871877128987016     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4388.737103685385     All      -1.1676104619892465        0.823462015080878         0.11058696543431021        0.6534927984803339        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6161.265754264947     All      1.3079190249140897         -0.1274301007450518       0.22954111554814877        -0.4572970660680929       
Check         All|All|All                                All                   All      0.9981273317471211         0.9980585782018991        0.000745052013803843       1.0852957872675706e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7549.4425046188135    All      -0.0001242125483774241     2.4865171487217e-05       -0.00020706106667569665    3.9319333462563735e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5369.160551791031     All      -1.0329095183769235e-05    3.0437695903821737e-05    -0.0017640647007807495     -6.544302049490936e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4388.737103685385     All      -0.00046428976731787       0.00010102430455559624    -0.001377309016541936      0.000122678415832971      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6161.265754264947     All      -0.00027384904013016894    1.358754474089986e-05     -0.0004857132591322965     7.195240012050299e-05     
MWEBV         All|All|All                                All                   All      -0.85524229059931          -4.064946741429232        0.05158593382223453        -1.0432042924743568       
Redshift      All|All|All                                All                   All      5.969641367619728          -0.23651867341065724      8.519612040965832          -1.6413593457387836       
