#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP      3783.4569687243716    All      3.106125368084068        1.4215135529346057       0.08237113039408213        -0.5450576450441281       
Zeropoint     VEGAHST|ACSWF|F775W       3221.1499951330425    All      -2.111706745123774       -0.4224291551237158      -0.08416508995031272       0.546497385236764         
Check         All|All|All               All                   All      0.994418622960294        0.9990843978108899       -0.0017939595562305871     0.00143974019263593       
Lambda        VEGAHST|ACSWF|F850LP      3783.4569687243716    All      0.0032616579162520224    0.0014686164056758265    -0.0013438402015169845     -0.0006440220254671085    
Lambda        VEGAHST|ACSWF|F775W       3221.1499951330425    All      -0.005536265116449151    -0.001043284714387173    -0.00011223184469616263    0.001458503139849708      
MWEBV         All|All|All               All                   All      -0.5213222300810959      -1.2064080255878906      -0.009973366238994641      -0.2236000477790023       
Redshift      All|All|All               All                   All      1.67721251122836         -0.4878276475359655      -0.24052937265282048       -0.7159585286051342       
