#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                  dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP      3783.4569687243716    All      3.512072554666184       1.4100373981012382        -0.15032737769442583     -0.6914104258335774       
Zeropoint     VEGAHST|ACSWF|F775W       3221.1499951330425    All      -2.5163161790889825     -0.41184248593406636      0.1376967102414972       0.6916410887485347        
Check         All|All|All               All                   All      0.9957563755772016      0.9981949121671718        -0.012630667452928623    0.00023066291495732472    
Lambda        VEGAHST|ACSWF|F850LP      3783.4569687243716    All      0.006371605348379102    0.002621597726179008      -0.00142771851745093     -0.0012852133742967012    
Lambda        VEGAHST|ACSWF|F775W       3221.1499951330425    All      -0.01153783533267212    -0.0020624189440645855    0.0012781193859745792    0.0031434914477153266     
MWEBV         All|All|All               All                   All      -0.45345455195874595    -1.1877965492093523       -0.015248236237014323    -0.23987980638927597      
Redshift      All|All|All               All                   All      6.220670738349932       -0.8172074610198976       -3.7022351207789628      -2.457682218539592        
