#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7385.27673253173     All      0.6107518348356349         -0.14159580658983373       0.37745114955018516       -0.22822046708048638       
Zeropoint     AB|CNIa02|SDSS_r                      6090.071996992327    All      1.1698041953366332         -0.13325579582641467       -0.17224497719070045      -0.4321360107616201        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.26814568235     All      0.1761143845049214         0.5558676752404956         -0.33082189156536984      0.10893507869417543        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.378900274499    All      -0.9603532313235801        0.717650276205628          0.12594021446307896       0.5522010804269218         
Check         All|All|All                           All                  All      0.9963171833536093         0.9986663490298753         0.00032449525719382977    0.0007796812789907515      
Lambda        AB|CNIa02|SDSS_i                      7385.27673253173     All      -5.99866272736665e-05      -1.5695195652240802e-05    -0.0003112050195718639    5.39525713381218e-07       
Lambda        AB|CNIa02|SDSS_r                      6090.071996992327    All      -7.713906032607722e-05     -4.935589364887324e-05     -0.0004668142147770825    -1.1781882979562328e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.26814568235     All      -7.533256623825689e-06     1.2664121580461103e-05     -0.0006554619200209321    -2.267130450768108e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.378900274499    All      -0.00033602807176419966    0.00012999585060811518     -0.0005323183385034694    0.00012804440065059921     
MWEBV         All|All|All                           All                  All      -0.8624364965483631        -4.03919269334283          0.06045852742892484       -1.0320760190673306        
Redshift      All|All|All                           All                  All      4.551988657950581          -0.6537587449775728        1.5564180281896822        -1.6262274049075465        
