#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7385.27673253173     All      0.6174733893956781         -0.1326694163061859        0.5086981364196497         -0.2216453293199909       
Zeropoint     AB|CNIa02|SDSS_r                      6090.071996992327    All      1.1089728445582914         -0.08030127497882233       -0.1000289472738114        -0.3918495391901061       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.26814568235     All      0.18053614271441265        0.5284161465321624         -0.593944110650968         0.0868109643838981        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.378900274499    All      -0.9105555405597167        0.6829842310278167         0.18519074933194268        0.5273325420996774        
Check         All|All|All                           All                  All      0.9964268361086653         0.9984296862749709         -8.417217318701375e-05     0.000648637973478472      
Lambda        AB|CNIa02|SDSS_i                      7385.27673253173     All      -3.8589087651815215e-05    -8.768470475812058e-06     -0.00015869096864523467    2.6319069940084715e-06    
Lambda        AB|CNIa02|SDSS_r                      6090.071996992327    All      -1.590811775108435e-05     -2.7704178367172335e-05    -9.548964154970454e-05     -8.103629155829807e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.26814568235     All      -8.256861373192299e-05     -4.344997056285149e-06     -0.0008622084928607426     -1.299639962419671e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.378900274499    All      -0.000257480770825143      6.384088867048331e-05      -0.0007135876366384203     7.282089683262631e-05     
MWEBV         All|All|All                           All                  All      -0.8531363567844314        -4.041297258230436         0.08831227284173959        -1.0345479218458262       
Redshift      All|All|All                           All                  All      4.765286314091358          -0.7520889194594815        2.472502572927726          -1.6868541957849321       
