#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4738.992454558188     All      -0.23306696482948303       0.32873630793552877        0.20261981070088808        0.19203980027069495        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7500.247980920386     All      0.17473846153721884        -0.023524527678997487      0.05608784708643899        -0.062077835233020906      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6177.707428680686     All      0.30305713676030327        -0.017378926925992744      -0.006539914116365786      -0.1046684143062665        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5299.98525226212      All      0.2579071300335842         0.12581259013266788        -0.02304547597340445       -0.04405595117565886       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6337.766361241844     All      0.26635330878338664        -0.017634075181582887      -0.01580955275384266       -0.09320954159356548       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4333.996945447699     All      -0.2066787553918623        0.119287796708889          -0.12047594299799957       0.10080174199023628        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5361.13075980161      All      0.20802766794464295        0.08274034582953504        0.020550969919774786       -0.039893107243028914      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6134.403817348549     All      0.5528720762217615         -0.026789348976752336      0.05759547600665549        -0.18624457491387691       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5341.963011557692     All      0.15449580257031933        0.06662732377940017        0.009330452647127174       -0.02820527908086734       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3545.2184138900807    All      -0.20261266967680802       0.08241884544233358        -0.042092564158546786      0.09096574391837808        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7526.442109687899     All      0.10681226143984206        -0.012637254337111159      0.03343229144339155        -0.03741670744273895       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4335.050107004631     All      -0.15629289599737428       0.0994180020864377         -0.07058564522193223       0.08014353898645188        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7836.56880514216      All      0.09786686428346437        -0.013726626583476786      0.018952806369432196       -0.03550389459098663       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4338.122509798388     All      -0.3286673014542092        0.2032664809689777         -0.11824919357668051       0.16799141462644357        
Check         All|All|All                                All                   All      0.9948121222247863         0.9966169331998564         0.0017713653749362734      0.0006669342121942701      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4738.992454558188     All      -8.769529244354424e-05     -8.120033259955241e-05     -0.000630140592189294      -2.6004658399329465e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7500.247980920386     All      -2.4254590739967077e-05    -1.2899541438226646e-06    -5.311942876874847e-05     5.109861516229925e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6177.707428680686     All      -6.181760755409069e-05     1.1816381563937794e-06     -1.887871742310654e-05     1.967845648974556e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5299.98525226212      All      6.963984938745778e-06      -3.931962731424118e-06     -0.0005541238044615009     -2.8277169016741216e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6337.766361241844     All      -7.30682732045771e-05      4.817548609696845e-06      -3.16907362899079e-05      2.3955762522005397e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4333.996945447699     All      -8.721268170880066e-05     2.706393010360534e-05      -0.00012101673786502703    3.1823230855015405e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5361.13075980161      All      4.071951537154621e-05      -8.718964088832777e-06     -0.00024069787657658872    -2.6844979984160145e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6134.403817348549     All      -8.927029355179624e-05     2.307993963745704e-06      -5.861779241230105e-05     2.7214218226402834e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5341.963011557692     All      1.5049853932566632e-05     9.604044086418754e-06      -7.183044150577723e-05     -4.979342127830411e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3545.2184138900807    All      -0.00013830047817867233    4.223135247888755e-05      -5.059639651287808e-05     5.654727177045459e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7526.442109687899     All      -2.525325432180116e-05     2.364701790643289e-06      -1.7456110349852994e-05    8.217090877692049e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4335.050107004631     All      -7.406890591846815e-05     1.9386148816505706e-05     -0.00016424972630334824    2.3111674993946306e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7836.56880514216      All      -7.727831326978559e-06     2.1924304262941246e-06     7.712312300891963e-06      3.575520696578138e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4338.122509798388     All      -0.00017955694975131637    2.7770980332440504e-05     -0.0004465805554143994     4.760468859673751e-05      
MWEBV         All|All|All                                All                   All      -0.9920189585150911        -3.980690303632528         0.0075890986225957136      -0.9731699148554207        
Redshift      All|All|All                                All                   All      5.552471748514023          0.920809531902389          5.525153341577682          -1.262122543588108         
