#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4140.378272818474    All      1.4695116044238874        0.8169623788543134        -0.08859262117046907      -0.21651023279150755      
Zeropoint     AB|MEGACAMPSF|r           3388.734618140238    All      -1.5023956358377286       -0.04548204707965908      0.07095112227832878       0.4777309096124432        
Zeropoint     AB|MEGACAMPSF|z           4772.810032825584    All      1.030713873290489         0.22741318811334565       0.01580649819012958       -0.2609560895521484       
Check         All|All|All               All                  All      0.9978298418766477        0.998893519888            -0.0018350007020107029    0.00026458726878725303    
Lambda        AB|MEGACAMPSF|i           4140.378272818474    All      0.0002086348140293299     0.00017443072968738812    -0.0011318611037402185    -6.165115816102663e-05    
Lambda        AB|MEGACAMPSF|r           3388.734618140238    All      -0.00208156248974356      -6.680756902490875e-05    -8.592969734978898e-05    0.0006524373134142443     
Lambda        AB|MEGACAMPSF|z           4772.810032825584    All      -0.0001416756377885135    -3.743271255657377e-05    -0.0001626339402224612    2.6697744436958487e-05    
MWEBV         All|All|All               All                  All      -0.46090617841492265      -1.7427595746433155       -0.027067664128233027     -0.4187497284084563       
Redshift      All|All|All               All                  All      -0.28132373523131937      -0.7308975606242996       -0.9604784974707181       -0.1893027294939637       
