#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5057.5532319024605    All      -2.1005774215664355       1.7136606383235886        -0.5242818743035117       1.21902652870047           
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6056.42499587852      All      3.0980421748800424        -0.7103312191659938       0.5239495428758311        -1.2171310445185823        
Check         All|All|All                            All                   All      0.9974647533136073        1.0033294191575948        -0.0003323314276806322    0.0018954841818876744      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5057.5532319024605    All      -0.0002586673411666561    -4.319468593455787e-05    -0.0018630209978957237    -1.2951537941242987e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6056.42499587852      All      -0.0007299630065925943    0.0001068129448862132     -0.0011280867317545013    0.0002222241267845084      
MWEBV         All|All|All                            All                   All      -0.4665350551691967       -2.8608730309144903       -0.01836187777128495      -0.7807340563517785        
Redshift      All|All|All                            All                   All      3.2137775194747777        -0.2367456044693128       -2.829785656041714        -1.2502292374012396        
