#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5057.5532319024605    All      -2.135103991963227        1.6466648326552757        -1.074352788419064        1.1839030920537756        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6056.42499587852      All      3.1168105776506083        -0.6460336231871366       0.9797690682536553        -1.1819595565104215       
Check         All|All|All                            All                   All      0.9817065856873809        1.000631209468139         -0.09458372016540872      0.0019435355433541357     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5057.5532319024605    All      -0.000270483242747479     -9.963170238696755e-05    -0.0024309617360602368    -5.283068973281466e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6056.42499587852      All      -0.0008597522375798633    0.00016055632020769503    -0.0013543194272300342    0.00027191100855278295    
MWEBV         All|All|All                            All                   All      -0.46707604666756897      -2.861214511947452        -0.02627042999715501      -0.7810219915926688       
Redshift      All|All|All                            All                   All      2.9331223085501095        0.022683241918208807      -2.991100022664328        -1.0815048109892227       
