#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7432.6964722496705    All      0.3758482678071677         -0.05625269211302353       0.06421190644360651        -0.13788401587538018       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5435.94886773124      All      0.9332826177984634         0.12542714081531514        0.058643017210708984       -0.26052813798869096       
Zeropoint     AB|CNIa02|SDSS_g                      4690.572026957348     All      -0.5446588726259606        0.6286489885752644         0.38098659176521926        0.3991866528576743         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4345.100134173958     All      -0.8677839133484786        0.4088018675599159         -0.49451915684523823       0.393757868540911          
Zeropoint     AB|CNIa02|SDSS_r                      6129.175423907772     All      1.1028080393276394         -0.10945103560300318       -0.008815577593780755      -0.39526606158338456       
Check         All|All|All                           All                   All      0.9994961389588316         0.9971742692344687         0.0005067809805158301      -0.0007336940488704147     
Lambda        AB|CNIa02|SDSS_i                      7432.6964722496705    All      -5.828388830623687e-06     -1.1283548700439504e-05    -0.00011582483849160325    -6.945655616666275e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5435.94886773124      All      0.00010354694527198565     -3.8391103702214505e-05    -0.0008070533759956212     -8.224897768260595e-05     
Lambda        AB|CNIa02|SDSS_g                      4690.572026957348     All      -0.00015061289052424929    -8.658379899557902e-05     -0.0007716848788991938     -1.3580370319387387e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4345.100134173958     All      -0.00046364022060528304    8.172125235633799e-05      -0.0009670521058642218     0.00013448707962808554     
Lambda        AB|CNIa02|SDSS_r                      6129.175423907772     All      -3.1071753216882746e-06    -1.3106851487241377e-05    -0.00015153567971227041    -1.0019564914050214e-05    
MWEBV         All|All|All                           All                   All      -0.9010261774888111        -4.068293965941727         0.007555101291494462       -1.0313461692429908        
Redshift      All|All|All                           All                   All      4.373599326755073          0.587755377923882          3.4223465135928732         -1.0804503180680678        
