#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7432.6964722496705    All      0.37426679850923283        -0.04902047903323492       0.0920830466781819        -0.13376934858226608       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5435.94886773124      All      0.9690439278727437         0.07924818881370754        -0.16554539423978554      -0.2972232762442628        
Zeropoint     AB|CNIa02|SDSS_g                      4690.572026957348     All      -0.4363941479062653        0.713871196141902          0.9766452284514671        0.4182624561387682         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4345.100134173958     All      -0.9082671910894891        0.3559941349497109         -0.8647404785238066       0.37322211090600604        
Zeropoint     AB|CNIa02|SDSS_r                      6129.175423907772     All      0.9985000941590689         -0.1022880941861537        -0.03547927979186127      -0.3601462051064194        
Check         All|All|All                           All                   All      0.9971494815452909         0.9978049466859318         0.002963122574195509      0.00034573711182595        
Lambda        AB|CNIa02|SDSS_i                      7432.6964722496705    All      3.7999965434551754e-05     -1.407293098869457e-05     -6.11348781399369e-05     -1.9690024341504133e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5435.94886773124      All      0.00011017820673333644     -9.082066678572429e-06     -0.0006574141748759268    -6.818436982733253e-05     
Lambda        AB|CNIa02|SDSS_g                      4690.572026957348     All      -5.1406583768782584e-05    -5.6027442077814985e-06    -0.0004310152391227823    -4.314413094078209e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4345.100134173958     All      -0.000647650707388323      0.00010559797756551924     -0.0012910031986695404    0.00018774633444173136     
Lambda        AB|CNIa02|SDSS_r                      6129.175423907772     All      0.00011837257411278221     -1.808023714649724e-05     -4.248471011984876e-05    -4.634306727872923e-05     
MWEBV         All|All|All                           All                   All      -0.8808718592552904        -4.072416211472518         0.015879683725761318      -1.0388823568556347        
Redshift      All|All|All                           All                   All      4.508669826888597          0.1440515287766786         4.730571716558796         -1.210596082391975         
