#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R 6325.331527959908 All 3.318051929915502 1.7365193948898554 10.919689200902017 -0.027861600815006604
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V 5363.054826502474 All 111762.78294790671 12.640360413226734 815698.7140661459 0.18932884967833666
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I 8200.626254680818 All 52551.9683714046 12.468290863074149 383503.65553399676 0.16310345799097065
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U 3647.8955043722804 All -0.38299722109685436 -0.042531096922979295 -0.9995750346457517 0.06629457473205443
Zeropoint Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B 4380.324427008603 All 5.439060446091002 2.1810663156050483 28.226880110935245 0.19840014485738589
Check All|All|All All All 164323.12543446626 28.983705889872805 1199240.51659442 0.5892654264437409
