#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.248180746845    All      -1.1370771429357496        0.5666808764263287        -1.6416894369622688        0.48170897931539003       
Zeropoint     AB|CNIa02|SDSS_i                      7414.13320018136     All      1.1669599576027894         -0.05654180973522216      4.240055902596154          -0.20932055657405155      
Zeropoint     AB|CNIa02|SDSS_r                      6113.867715410163    All      -0.3144642752882978        -0.6424237780700004       -11.492656578928438        -0.6196916788582733       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.372503062257    All      1.2719834799562795         1.1227143470446954        8.838216966305314          0.3457871633460078        
Check         All|All|All                           All                  All      0.9874020193350219         0.9904296356658016        -0.056073146989238154      -0.0015160927709270133    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.248180746845    All      -0.00012149438098972898    4.000220283818582e-05     -0.00036698688235312776    3.622781138291085e-05     
Lambda        AB|CNIa02|SDSS_i                      7414.13320018136     All      -0.00044961342186318676    2.386136026842231e-05     -0.0016088940678230554     8.242876053415325e-05     
Lambda        AB|CNIa02|SDSS_r                      6113.867715410163    All      5.9779876264023295e-05     0.00013119836077590412    0.0023389413857881265      0.00012763956168236292    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.372503062257    All      0.00010218992228736704     7.437243349311282e-05     0.0007854384113414035      2.5989437641536835e-05    
MWEBV         All|All|All                           All                  All      -0.7611207416417005        -4.035463669386452        0.8748188196114545         -1.0275220682273558       
Redshift      All|All|All                           All                  All      4.9243414923966515         -1.9249875179723652       -14.062675178796463        -2.8586044006072093       
