#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4334.248180746845    All      -1.271905896698803         0.5204699199738094        -2.684674389197139        0.46403108317674413       
Zeropoint     AB|CNIa02|SDSS_i                      7414.13320018136     All      0.9177370677974496         -0.03519379727583427      3.3824470595981593        -0.15945785599620066      
Zeropoint     AB|CNIa02|SDSS_r                      6113.867715410163    All      -0.25737782341497883       -0.6900861216819987       -11.836112930714693       -0.6691386872231052       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5422.372503062257    All      1.6234135361036215         1.2015610278291788        11.291248239736884        0.36646530963176244       
Check         All|All|All                           All                  All      1.011866883787289          0.9967510288451553        0.15290797942321177       0.0018998495892006972     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4334.248180746845    All      -7.785606310191243e-05     1.600450019710443e-05     -0.00035024168091502      1.4943795769921538e-05    
Lambda        AB|CNIa02|SDSS_i                      7414.13320018136     All      -0.00033262862811595656    2.221282647190392e-05     -0.0010926694070507652    6.682271850876405e-05     
Lambda        AB|CNIa02|SDSS_r                      6113.867715410163    All      0.0001137039105033331      0.00014792296407829648    0.002757882703486008      0.0001342179100822627     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5422.372503062257    All      7.590719371729972e-05      6.768185108974513e-05     0.0009482266838236119     3.963573715188281e-05     
MWEBV         All|All|All                           All                  All      -0.7939877151352905        -4.030866045580828        0.7779211159216315        -1.0196427158189816       
Redshift      All|All|All                           All                  All      3.739113188162035          -1.8735095341550156       -21.151181533072872       -2.7720959584195555       
