#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6995.616655880807     All      0.013635323988239079      -3.0055417887808744e-05    -0.02583374555847895       -0.005604105064377363     
Zeropoint     AB|SDSS|SDSS_i            5884.026190392095     All      1.0524322782594777        0.2149287132528599         0.6603241971681217         -0.2433352280112655       
Zeropoint     AB|SDSS|SDSS_g            3713.2484499510288    All      -1.0322140157037354       0.37833054406597455        -0.438447453389057         0.43989487252619197       
Zeropoint     AB|SDSS|SDSS_r            4852.105673146809     All      0.9668330498040639        0.4051902968697618         -0.19373439984208263       -0.19159099860347473      
Check         All|All|All               All                   All      1.000686636348045         0.9984194987707085         0.0023085983785031683      -0.0006354591529256215    
Lambda        AB|SDSS|SDSS_z            6995.616655880807     All      -9.23682548349873e-05     -2.41962488142721e-05      -0.00017385653397525953    1.4447446536190435e-05    
Lambda        AB|SDSS|SDSS_i            5884.026190392095     All      -0.0003048919164255289    -6.536476445979095e-05     -0.00012284647769409443    7.25397995184518e-05      
Lambda        AB|SDSS|SDSS_g            3713.2484499510288    All      -0.0013736422815851415    0.0003184394767917925      -0.0023430790082605095     0.0004466058417736952     
Lambda        AB|SDSS|SDSS_r            4852.105673146809     All      -0.0003167352269343291    -5.754515708517637e-05     -0.0007900588509417518     4.9170034941411315e-05    
MWEBV         All|All|All               All                   All      -0.565350760088728        -2.9175873957269616        0.26134620054335533        -0.754538177903516        
Redshift      All|All|All               All                   All      4.3271786374580765        0.3957893260949419         2.782182909098929          -1.1564267924483977       
