#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6995.616655880807     All      0.16171990298810293        0.020739695220584053       0.18156764208464246        -0.03781936182473058       
Zeropoint     AB|SDSS|SDSS_i            5884.026190392095     All      1.2620709172687508         0.14511641109287154        0.10530710357503455        -0.3591294569987295        
Zeropoint     AB|SDSS|SDSS_g            3713.2484499510288    All      -0.9978728373409198        0.4427005048896149         0.02667180208252637        0.4704323710475052         
Zeropoint     AB|SDSS|SDSS_r            4852.105673146809     All      0.5709743550779638         0.3897703224549076         -0.3138891602312628        -0.07303154644128311       
Check         All|All|All               All                   All      0.9968923379938975         0.9983269336579781         -0.000342612489059424      0.0004520057827620133      
Lambda        AB|SDSS|SDSS_z            6995.616655880807     All      -7.38797613164312e-05      -1.331820285973346e-05     -0.00012366555236411036    1.4208266378766979e-05     
Lambda        AB|SDSS|SDSS_i            5884.026190392095     All      -0.00021490079582472       -2.0824712978278944e-05    0.00011872339453085763     6.851504491764449e-05      
Lambda        AB|SDSS|SDSS_g            3713.2484499510288    All      -0.0016123931681441901     0.000590693916617019       -0.0009383353214291257     0.0006757443471418303      
Lambda        AB|SDSS|SDSS_r            4852.105673146809     All      -0.00015885900737628978    -4.349556699001902e-05     -0.0011822812655668269     -1.5182114982535672e-05    
MWEBV         All|All|All               All                   All      -0.551371891076879         -2.943962299802294         0.095709084912867          -0.7750743531245448        
Redshift      All|All|All               All                   All      4.747157820477156          -0.3463639060182544        3.9535569895060783         -1.4826985077957908        
