#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5244.176878981533     All      0.3391703459940589         0.6605308934442888        0.7391169365299932        0.13766109698854692        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6204.0331251779635    All      1.4011524070650296         -0.22600036953432934      -0.3418584608638975       -0.5452727640839456        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4306.364560842838     All      -1.1329994518018713        0.6429420538853314        -0.5150563407098963       0.5554979762247385         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8012.240769811599     All      0.3933435464295003         -0.07487944030355465      0.14047257537790347       -0.14624698498575966       
Check         All|All|All                       All                   All      1.0006668476867175         1.0025931374917363        0.022674710334102954      0.0016393241435800898      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5244.176878981533     All      4.7059006893619333e-05     0.00010947603413203894    -0.0007857689423280411    -1.4733979759127698e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6204.0331251779635    All      -0.0003618431221808467     -4.48169876308575e-05     -0.0005785130293976743    7.744946238518171e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4306.364560842838     All      -0.0006888596667095376     0.00025142008881271237    -0.0008111890598892435    0.0002700804085724507      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8012.240769811599     All      -1.8357685306301453e-06    4.801928618938887e-06     3.420830830882677e-05     3.688676022110195e-06      
MWEBV         All|All|All                       All                   All      -0.8138299149434998        -3.9833644426293446       0.027820212530993427      -1.0311801819443318        
Redshift      All|All|All                       All                   All      6.068682185449456          0.2251743179628285        2.3385836219292244        -1.7990625118183463        
