#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5244.176878981533     All      0.2370125637694278        0.5883668057328428        0.39675961766018325        0.13215319530386324        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6204.0331251779635    All      1.4501025836858767        -0.20674721355948833      -0.2587043893084152        -0.5512352764106248        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4306.364560842838     All      -1.0631167124177359       0.6947877761867893        -0.22257408068258447       0.562674866303261          
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8012.240769811599     All      0.37390480355233596       -0.07819815893581605      0.08392704074383649        -0.143519530262621         
Check         All|All|All                       All                   All      0.9979032385899044        0.9982092094243278        -0.0005918115869799484     7.325493387855264e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5244.176878981533     All      8.956902496726992e-05     0.00014799429756062954    -0.000663492399394698      -1.0577585056584367e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6204.0331251779635    All      -0.0003184492877439164    -9.932629475526365e-06    -0.0003634805966011447     8.427355587427793e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4306.364560842838     All      -0.0007347046239853665    0.00033004510609302694    -0.0006730617560033516     0.0003167883614025845      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8012.240769811599     All      -1.718657698090925e-06    -3.967829808600128e-06    -1.5972314096845534e-06    -8.039064539530902e-07     
MWEBV         All|All|All                       All                   All      -0.801593365780938        -3.9881773307903323       0.020991887474634173       -1.037038461376342         
Redshift      All|All|All                       All                   All      6.383950266282808         -0.2978992961932825       1.547735644547438          -2.107429895496121         
