#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3944.056308972804    All      -0.7536255556767526        0.5223552527208852         -0.05954915722046206      0.4129715224294575         
Zeropoint     AB|DECam|DECam_i          6368.307028425747    All      1.003654631078609          -0.02024828547781965       -0.030888402435236273     -0.33489727286321047       
Zeropoint     AB|DECam|DECam_r          5241.943835214715    All      0.3286075516753072         0.5007363880684679         -0.3902193158761058       0.03865432902870822        
Zeropoint     AB|DECam|DECam_z          7462.71922227569     All      0.4171281672563656         -0.0035828823360617434     0.4838840494996388        -0.11544590710455271       
Check         All|All|All               All                  All      0.9957647943335293         0.9992604729754717         0.0032271739678346734     0.0012826714904025371      
Lambda        AB|DECam|DECam_g          3944.056308972804    All      -0.0006417282744001858     0.00031766432811055137     -0.0007418458367261864    0.00027940056119845263     
Lambda        AB|DECam|DECam_i          6368.307028425747    All      -0.0005593603806856154     -4.9193508293767714e-05    -0.0007348413535467308    0.00013338553972506368     
Lambda        AB|DECam|DECam_r          5241.943835214715    All      -0.0001016061799755861     -1.3794532124919042e-05    -0.0010966490775928925    -2.0335268983569784e-05    
Lambda        AB|DECam|DECam_z          7462.71922227569     All      -0.00011335436468996695    -1.863107316097575e-05     -0.000318594906466209     1.663706493261256e-05      
MWEBV         All|All|All               All                  All      -0.48868295942398454       -3.128593054823803         0.12135889749100848       -0.8544898783203747        
Redshift      All|All|All               All                  All      5.301888848746554          0.698558735572874          -1.55670141964952         -1.5689244976109655        
