#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7975.156362414245    All      0.4883025651244049         -0.06223092088744053      0.19588832186107075       -0.17058527228562825      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6175.317950668026    All      1.3674726286009806         -0.2875757921234623       0.07504890346279602       -0.5357546322312834       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5219.904369276548    All      0.16084342800180518        0.6993289746912268        -0.12078172123679287      0.17001252471660622       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4286.432686306874    All      -1.0193596531550804        0.6485577997111136        -0.15233310091391228      0.5364976605996704        
Check         All|All|All                       All                  All      0.9972589685721102         0.9980800613914376        -0.0021775968268383794    0.00017028079936498575    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7975.156362414245    All      -1.2501766668799644e-05    2.5072992470532843e-05    -4.321077810348623e-05    1.0311036657705171e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6175.317950668026    All      -0.0003876620744371124     0.00011096748863566808    -0.0006281855245772726    0.0001343870183080437     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5219.904369276548    All      -0.00025133778705694254    0.00017936458145628774    -0.002599937248473047     2.4270672792320143e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4286.432686306874    All      -0.0006545409253977668     0.0003009904611862601     -0.0007787945260755237    0.0002764939858344235     
MWEBV         All|All|All                       All                  All      -0.7869636310578274        -3.953372596101179        0.028311841869460563      -1.0301401442043112       
Redshift      All|All|All                       All                  All      7.575577418840883          -0.9210947552635851       12.626719408388187        -2.204173164545696        
