#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7975.156362414245    All      0.46818159481943833        -0.07424859814673113      0.13218444248669478        -0.1707885747053721       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6175.317950668026    All      1.4041019170994917         -0.3310024751614904       0.11281513542569538        -0.5601461624454925       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5219.904369276548    All      0.12781941391371865        0.7902582045948847        -0.17606663748215107       0.20792106232772356       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4286.432686306874    All      -1.0025162750043597        0.6148027695909164        -0.07378123564358112       0.5235215033589921        
Check         All|All|All                       All                  All      0.9975866508282892         0.9998099008775796        -0.004848295213342027      0.0005078285358509627     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7975.156362414245    All      -2.666369149306329e-06     2.7522215565318598e-05    -5.4353195684690226e-05    7.407881728280902e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6175.317950668026    All      -0.000341125428935846      0.00014157331770265055    -0.0005847631595582091     0.00013113556800619606    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5219.904369276548    All      -0.00017253251888870482    0.00029874696355871786    -0.0024771471897761573     4.296753011338407e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4286.432686306874    All      -0.0007594113224128661     0.00034657136898306383    -0.000786763361188379      0.00032514531300101697    
MWEBV         All|All|All                       All                  All      -0.770644120152697         -3.9556678211186913       0.024722738589052957       -1.036363741296187        
Redshift      All|All|All                       All                  All      7.2565956497001505         -1.6773677570714796       11.954692474203071         -2.3766027810442374       
