#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3590.6550494813173    All      -0.35868840794224144       0.12974336112256957        -0.1310929032549995        0.15324822192797266       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7596.37352089214      All      0.2636520239767808         -0.033028727857375983      0.02246619953182439        -0.09563611807762111      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6213.024268411962     All      1.050270065602219          -0.0688936323574918        -0.04738453083621227       -0.3666629897994372       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.284056942484     All      0.7194760346912539         0.1890023911572225         0.07259778944913294        -0.16955301185000007      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4393.721253970421     All      -0.5167832303256343        0.3469004633922079         -0.12197364869547002       0.2758870696568609        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4799.728874177285     All      -0.16385544012448644       0.43434434911575615        0.2049652525292524         0.20400000939307825       
Check         All|All|All                              All                   All      0.9940710458778917         0.9980682045728884         -0.0004218412764720736     0.001283181250853388      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3590.6550494813173    All      -0.0005458196079268535     0.00013433887945988639     -0.0004202456266114789     0.00020279636369412615    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7596.37352089214      All      -7.026049170285708e-05     4.811374414003841e-06      -4.594721724226558e-05     2.2402963307710276e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6213.024268411962     All      -0.00025523236107263423    -1.0389555255783016e-05    -0.0004169034207623106     6.114887204313182e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.284056942484     All      0.00010846976480698503     -1.5735693177267912e-05    -0.0009093245876067848     -8.103678387178583e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4393.721253970421     All      -0.00023527969542572332    6.277836949584316e-05      -0.00047275473874291654    7.599044485791104e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4799.728874177285     All      -0.0001307112817949899     -6.417556225827485e-05     -0.0007639642601176293     -1.241934335485348e-05    
MWEBV         All|All|All                              All                   All      -1.11904942441581          -4.020422574001614         -0.06068817941111479       -0.9477809218778915       
Redshift      All|All|All                              All                   All      5.9580317355777686         0.5112221559739449         2.739087487820936          -1.6519721803818748       
