#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3590.6550494813173    All      -0.4653528889189198        0.16313005591772622        -0.20985944655187438       0.19535250835799323        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7596.37352089214      All      0.19940521793339425        -0.019969989141177535      0.034278510770580084       -0.06992802967394213       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6213.024268411962     All      1.0269263969981843         -0.07453682113864879       0.012397233930361296       -0.3582295755988188        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.284056942484     All      0.7799052291115285         0.16999691066459377        0.03876436869258981        -0.19693732896939736       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4393.721253970421     All      -0.45658987367431886       0.34731570988122407        -0.0878752983704878        0.2579370253025362         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4799.728874177285     All      -0.0641281370031806        0.40319095931073967        0.24231128815208614        0.16303444390578375        
Check         All|All|All                              All                   All      1.020165944446688          0.9891268254944574         0.030016656623255145       -0.008770956675845099      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3590.6550494813173    All      -0.0004651956954284647     0.00021077324086312066     0.0005383832185436426      0.00024421089160653564     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7596.37352089214      All      -3.960218881083222e-05     -2.9733247558930015e-08    -2.4965427467531155e-05    1.1775958306261083e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6213.024268411962     All      -3.97352103546801e-05      1.3226486666258892e-05     7.195660017290069e-05      2.0462459688803385e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5367.284056942484     All      0.0001486430543104685      -8.302939266972969e-06     -0.0007853429980454904     -8.616872453083833e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4393.721253970421     All      -0.00020015155559430104    6.516283485355235e-05      -0.0004328998592248036     6.710329307298218e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4799.728874177285     All      -1.7826439620803684e-05    -8.668782007160337e-06     -0.0004690600745864103     -1.7949046451040673e-05    
MWEBV         All|All|All                              All                   All      -1.183119937933017         -4.008902627442579         -0.10197325956293746       -0.9250009856904509        
Redshift      All|All|All                              All                   All      5.078464942919699          0.10073302986102206        2.600189262238306          -1.5053765420625502        
