#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5435.519100972142    All      0.6740864378450565         0.17183412954535626        -0.1482208069103881        -0.17021451428222262      
Zeropoint     AB|CNIa02|SDSS_g                      4690.20118977926     All      -0.4883597366623377        0.5299675512784763         0.21659040303074134        0.34136813457850995       
Zeropoint     AB|CNIa02|SDSS_r                      6128.69085057532     All      1.1769178882477245         -0.12226951567844146       0.014235082917533603       -0.42255283308353875      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4344.75661004449     All      -0.8027582311158994        0.49357981278972396        -0.21731853306895504       0.4125620211319793        
Zeropoint     AB|CNIa02|SDSS_i                      7432.10884238928     All      0.4389726194373135         -0.07593007264983243       0.1355169020374201         -0.1616732496768793       
Check         All|All|All                           All                  All      0.9988589777518576         0.9971819052852826         0.0008030480063518641      -0.0005104413321513901    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5435.519100972142    All      0.0001787696025556847      1.135408405994277e-06      -0.0009014709432487851     -9.808980891686448e-05    
Lambda        AB|CNIa02|SDSS_g                      4690.20118977926     All      -0.00018465749176467286    0.00016093601631103922     -4.129937792072559e-05     0.00011072817371354159    
Lambda        AB|CNIa02|SDSS_r                      6128.69085057532     All      9.231642382985942e-05      -5.932217648974975e-05     -0.0005731210866406418     -7.496944273269613e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4344.75661004449     All      -0.0004976609449005295     0.00019618027016685946     -0.0006831782210689272     0.0001955198041631746     
Lambda        AB|CNIa02|SDSS_i                      7432.10884238928     All      -1.1189533757515194e-05    -2.6826451323074257e-05    -0.00028936691289306105    -1.800657479866724e-05    
MWEBV         All|All|All                           All                  All      -0.8908714314540873        -4.0716576829535445        0.013757931958762251       -1.035472773557364        
Redshift      All|All|All                           All                  All      4.517619874698104          0.18522688537716547        2.520788568786287          -1.2987117118557712       
