#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5435.519100972142    All      0.5036162137193041         0.25708098332017926       -0.3336480914344797       -0.09519381723962494       
Zeropoint     AB|CNIa02|SDSS_g                      4690.20118977926     All      -0.3163810635023623        0.341899369853671         0.14927009942651281       0.22108483289168257        
Zeropoint     AB|CNIa02|SDSS_r                      6128.69085057532     All      1.163242768283067          -0.1432208732758511       -0.035161615931889045     -0.42712729086045176       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4344.75661004449     All      -0.9095552938521129        0.6512710980215886        -0.09343955050690189      0.5042427275095296         
Zeropoint     AB|CNIa02|SDSS_i                      7432.10884238928     All      0.5598912458154437         -0.11098290095272745      0.3143857223267488        -0.20449618984019757       
Check         All|All|All                           All                  All      1.0008138704633396         0.9960476769668603        0.0014065638799909408     -0.0014897375390621193     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5435.519100972142    All      0.00012201836879277949     0.00011906982519743463    -0.0012429353344339074    -5.642693303348215e-05     
Lambda        AB|CNIa02|SDSS_g                      4690.20118977926     All      -0.00016319798045862858    0.0002690460483623419     0.00015559412238845576    0.00014773955165739053     
Lambda        AB|CNIa02|SDSS_r                      6128.69085057532     All      0.00032225649691261624     -0.0001450903841116361    -0.001042252352710333     -0.000198741190014843      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4344.75661004449     All      -0.0008827172955218857     0.0004888529851384072     -0.0006274290598307864    0.00041876628647018736     
Lambda        AB|CNIa02|SDSS_i                      7432.10884238928     All      -5.480724249017021e-05     -3.973826447281736e-05    -0.0005443694760558236    -1.9384247622897392e-05    
MWEBV         All|All|All                           All                  All      -0.878713872246244         -4.078703994477806        0.03273554443342652       -1.0408812223596686        
Redshift      All|All|All                           All                  All      4.639639193569632          -1.7382310482387808       4.763342259504633         -1.864916075653511         
