#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R            6399.611023487808     All      0.7086069092167617         -0.10107158091487989       -0.17304568613474167      -0.2714611560690883       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6515.966238074796     All      0.41977235576098093        -0.043541097961696806      0.13410877363832216       -0.14493177580919467      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V            5394.473493434591     All      0.3819043775482681         0.25892462645922265        -0.0786199277758973       -0.043566997131707946     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4358.136353844554     All      -0.40483635509603605       0.2769132760723547         -0.05115471870588853      0.21978548361748668       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5452.2578643871575    All      0.2796668909889451         0.1470687574681051         0.1452530610093514        -0.03670959744708757      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I            7933.130927216644     All      0.22553198669127558        -0.04953858185974269       0.056398027922326996      -0.08708274877057312      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7918.190936961752     All      0.13876311727716586        -0.02865861038676698       0.04888775520464762       -0.05235312872993359      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B            4399.413509082494     All      -0.7522198905656643        0.536721600215273          -0.08131875473155654      0.4162217659227082        
Check         All|All|All                               All                   All      0.9971893918216969         0.9968183890918692         0.0005085304265641383     -9.815441739036146e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R            6399.611023487808     All      -0.00024036934285322448    -1.2978762626312492e-05    -0.0005511156061222604    4.947483458897795e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6515.966238074796     All      -0.00012604326698782532    1.2840837366852784e-05     -5.956368376965364e-05    4.258106829909953e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V            5394.473493434591     All      2.5432341272992027e-05     -2.0602374697394918e-05    -0.0007681192897914922    -4.927265754782455e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4358.136353844554     All      -9.75930489969808e-05      3.501145325161822e-05      -0.0002136626402294275    3.365886662448451e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5452.2578643871575    All      2.488310606087695e-05      8.69790342854594e-06       -9.528358678261663e-06    -5.697259860342951e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I            7933.130927216644     All      3.157414347864871e-05      -4.24456274644877e-06      5.572043898848963e-05     -9.180783740610554e-06    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7918.190936961752     All      1.4696134935177694e-05     -2.8395917826132382e-06    1.367369236205112e-05     -5.101769011136785e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B            4399.413509082494     All      -0.00020485694248441105    5.418477747559181e-05      -0.0005672332660763116    5.9065394953598754e-05    
MWEBV         All|All|All                               All                   All      -0.8574913101554351        -4.090234868850384         0.01802870225258305       -1.052206392992295        
Redshift      All|All|All                               All                   All      3.012482775064675          -0.14810443441417576       -3.288804850789663        -1.1762714899143436       
