#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R            6399.611023487808     All      0.7325845172910156         -0.08432629295525018       -0.02551433906717998       -0.26723331423402913       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6515.966238074796     All      0.4023454972898285         -0.03860941157753928       0.13511985858311315        -0.13760374209820236       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V            5394.473493434591     All      0.40065124911116123        0.2599430642782785         -0.05528401711375405       -0.048300356735331285      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4358.136353844554     All      -0.4039144012493044        0.26485928246611223        -0.1076003535271125        0.21303988119941442        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5452.2578643871575    All      0.2790445243264833         0.14207193835145127        0.14584155772676272        -0.03810823862099855       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I            7933.130927216644     All      0.22981059754802433        -0.04940757681093366       0.05235056331341428        -0.08861438019056034       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7918.190936961752     All      0.1399958016561321         -0.027884053281557186      0.05212789526690409        -0.05235776328538222       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B            4399.413509082494     All      -0.7627878992069184        0.524679478401513          -0.16384566437065914       0.4120588018207333         
Check         All|All|All                               All                   All      1.017729886766422          0.9913264288720747         0.03319550081148856        -0.007119112144356177      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R            6399.611023487808     All      -0.0002513845128473255     -6.756921428806087e-06     -0.0005168495982482214     5.6618630768245306e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6515.966238074796     All      -0.0001329435351647666     1.1152413262215726e-05     -5.607489033615936e-05     4.443442620551417e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V            5394.473493434591     All      -4.332850472820678e-05     -2.5301906145081066e-05    -0.0007740939359014987     -2.8672400858429837e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4358.136353844554     All      -4.872713068135678e-05     1.6022652641826267e-06     -0.00021076898312010137    6.9882883576825795e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5452.2578643871575    All      2.342910285017971e-05      -5.827434525712925e-06     -1.6440444185272177e-05    -1.0263478250578152e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I            7933.130927216644     All      3.2899142305912386e-05     -5.388076998758776e-06     5.018536592983569e-05      -1.0231864551232467e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7918.190936961752     All      1.4547723123045192e-05     -3.2399163147311366e-06    9.87405890068757e-06       -5.353385462013724e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B            4399.413509082494     All      -0.00014210371361608162    -6.137171709576021e-06     -0.0006019176215022442     1.742795692530884e-05      
MWEBV         All|All|All                               All                   All      -0.8572372552774663        -4.087275473568663         0.03546564310440495        -1.050547044034493         
Redshift      All|All|All                               All                   All      3.110987571828409          0.33290836547896774        -3.2665049304113296        -1.0506809061289228        
