#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4269.044273584875    All      -1.0291280674769467        0.579953347020723         0.42905791714278085        0.5432776381583814        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    5993.231233694085    All      1.1520157446567934         -0.009954224310071424     -0.46168490840272947       -0.3990947235889377       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5222.728900378548    All      0.1808071104881897         0.6826806251350348        -0.8079333803460514        0.1274223588076339        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7343.54861812921     All      0.6905419407447153         -0.26042589971746466      0.8348553483455673         -0.27250575170646163      
Check         All|All|All                                All                  All      0.9942367284127517         0.9922538481282217        -0.005705023260432762      -0.0009004783293841134    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4269.044273584875    All      -0.00036824875970805704    0.00013791093572963948    -0.00022212842572194493    0.0001549602935224072     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    5993.231233694085    All      -0.00025774320009188084    7.190181462243589e-05     -0.0009546993709462892     6.477237814158797e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5222.728900378548    All      -0.0001007146887537441     0.00016522186402173825    -0.0014096008778534009     2.372027117575453e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7343.54861812921     All      -0.00034465374456291327    0.00015865301596967583    -0.00119116889067687       0.00011078717345597979    
MWEBV         All|All|All                                All                  All      -0.7797755294976838        -3.9415554337749015       0.07265369350307621        -1.0266535336375557       
Redshift      All|All|All                                All                  All      9.439760144012446          -2.087337906361064        17.660870145071673         -2.9666315441363813       
