#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4269.044273584875    All      -1.0188397116911467        0.5614650522542952        0.22572962452109824        0.5248305285032028        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    5993.231233694085    All      1.188056805193005          -0.061724621248426814     -0.062136413809210644      -0.4098677899456983       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5222.728900378548    All      0.18961546671041107        0.7374163420273305        -0.8685052566270501        0.13967936650130736       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7343.54861812921     All      0.6373026384161041         -0.24397911724207688      0.707075375014754          -0.25550893461927027      
Check         All|All|All                                All                  All      0.9961351986283734         0.993177655791122         0.0021633290995914933      -0.0008668295604584153    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4269.044273584875    All      -0.00038679553798156923    0.00016688002182875078    -0.00029556284018691887    0.00016716073312857073    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    5993.231233694085    All      -0.00014967481229918997    5.625718650961757e-05     -0.00041342466595978007    4.8629582922579054e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5222.728900378548    All      -0.00017719901148303334    0.00017110430185093928    -0.0015605980467223858     4.381152473387809e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7343.54861812921     All      -0.000262134456562432      7.278153683482137e-05     -0.0005091630423306508     8.637154938044111e-05     
MWEBV         All|All|All                                All                  All      -0.7833672722501919        -3.9433492287426652       0.07688382973849439        -1.0258791113414658       
Redshift      All|All|All                                All                  All      9.452115627717967          -1.7231183014924767       12.429024009885525         -3.085491087901019        
