#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3965.6933367218294    All      -1.3055018629668764        0.35022809042182246        -0.6915651959455094        0.5084643392652001         
Zeropoint     AB|MEGACAMPSF|i           4838.887569303677     All      1.5003154223201522         0.5614245034346155         0.777705007909224          -0.271122258241685         
Zeropoint     AB|MEGACAMPSF|z           5585.998979071243     All      1.0549131774544989         0.05407731673852112        -0.013838549539024747      -0.32662271726476355       
Zeropoint     AB|MEGACAMPSF|g           3111.9452707016353    All      -0.26263412857512025       0.03484335676144923        -0.060539882580223914      0.09419658678276183        
Check         All|All|All               All                   All      0.9870926082326541         1.0005732673564083         0.011761379844466013       0.0049159505415133364      
Lambda        AB|MEGACAMPSF|r           3965.6933367218294    All      -0.0008547613663303249     0.00018885162938429736     -0.0008620264301792559     0.00030147080611728477     
Lambda        AB|MEGACAMPSF|i           4838.887569303677     All      -0.0004235060281061674     -0.00018487286641940916    -0.0021462791294859073     -1.8047908486257684e-05    
Lambda        AB|MEGACAMPSF|z           5585.998979071243     All      -0.00010165362076969233    -8.898782846641326e-06     -8.289717911175444e-05     2.6513981884280342e-05     
Lambda        AB|MEGACAMPSF|g           3111.9452707016353    All      -0.0006608755749155592     8.644267215052847e-05      -0.00017459527794010072    0.0002356347537421153      
MWEBV         All|All|All               All                   All      -0.2868391561721366        -2.16628103770109          0.1379411605351044         -0.6060403721614476        
Redshift      All|All|All               All                   All      2.655044237946078          0.531447564787868          4.569396856093577          -0.4878141054962183        
