#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3965.6933367218294    All      -1.2456593876091304        0.3590979819803053         -0.5438074778848554        0.4984546401039774        
Zeropoint     AB|MEGACAMPSF|i           4838.887569303677     All      1.6359087980523728         0.5579573371644386         0.7413234014777541         -0.31804239572817         
Zeropoint     AB|MEGACAMPSF|z           5585.998979071243     All      0.8878301982360081         0.04020725400106784        -0.22579952656774435       -0.2861750747148929       
Zeropoint     AB|MEGACAMPSF|g           3111.9452707016353    All      -0.2917406887422127        0.042653260696390305       0.03429445434058488        0.11045351455480885       
Check         All|All|All               All                   All      0.9863389199370376         0.9999158338422021         0.006010851365739242       0.0046906842157233425     
Lambda        AB|MEGACAMPSF|r           3965.6933367218294    All      -0.0010087488607151687     0.00024638026667490783     -0.0009329820425873751     0.00036720214578358514    
Lambda        AB|MEGACAMPSF|i           4838.887569303677     All      -0.00029528296252926415    -0.00015512795598696062    -0.0017999419755854063     -3.467004694231178e-05    
Lambda        AB|MEGACAMPSF|z           5585.998979071243     All      -5.3968418807376e-05       -8.418672189771741e-06     -0.00010087935165200639    1.0335268873380907e-05    
Lambda        AB|MEGACAMPSF|g           3111.9452707016353    All      -0.0008580025070784644     0.00011324089681332096     -8.057126529176199e-05     0.00031277040408691007    
MWEBV         All|All|All               All                   All      -0.3129280639927343        -2.1704265593196936        0.07625081803089653        -0.601645646011963        
Redshift      All|All|All               All                   All      2.4566897315618283         0.286938883546739          3.5524262493628846         -0.5482307660756919       
