#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K2_B
@MAGSYS  Linear_AB11_off
52103.45  15.891  0.022
52104.46  15.728  0.019
52105.46  15.698  0.016
52106.47  15.677  0.015
52107.45  15.697  0.012
52108.48  15.78  0.015
52109.4  15.687  0.016
52110.5  15.713  0.022
52111.49  15.843  0.018
52113.45  15.989  0.048
52115.47  16.137  0.019
52117.49  16.33  0.022
52119.43  16.487  0.024
52121.46  16.802  0.025
52123.4  16.958  0.039
52131.46  17.855  0.064
52133.4  18.046  0.07
52135.44  18.018  0.066
52139.37  18.36  0.099
52143.42  18.579  0.107
52147.37  18.605  0.112
52151.35  18.638  0.131
52159.39  18.584  0.164
52163.33  18.781  0.238
