#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4358.226067686835    All      -0.21575028882799424      0.16559980300270283        0.1205862814567249         0.1295994828632796         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4366.073443297826    All      -0.8429548638859292       0.6053635826133608         -0.06901065825275499       0.4686853375630823         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7873.011298442091    All      0.2843629955497728        -0.06568314326047542       0.1290584652484994         -0.10826225702645076       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6351.112865249468    All      0.8891437028439334        -0.11917947096300452       -0.1350598695922689        -0.33447113222836444       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7803.243639646931    All      0.12498353705918125       -0.025719796592493793      0.10356067655802326        -0.044467596404959564      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5350.925111851572    All      0.14999706046920788       0.11218552375531488        0.19346137402707075        -0.003683168883447663      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5353.592566744373    All      0.37362694182842204       0.3443226199157934         -0.45209659973811656       -0.029720376572231477      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6504.394059162744    All      0.23431420338986625       -0.020686413814008375      0.131025396405704          -0.07721502863071439       
Check         All|All|All                                      All                  All      0.9977232884264602        0.9962027046571897         0.021525066112881852       0.000465260680193591       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4358.226067686835    All      -8.09220580673443e-05     6.1459532497209e-05        3.732167135912881e-05      4.804386304259087e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4366.073443297826    All      -0.0003934396697762561    0.0001901583491795245      -0.000593926224858869      0.00016359287496746434     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7873.011298442091    All      2.463562201082856e-05     7.28332714100052e-07       0.00010641499524172236     -3.0385781591571806e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6351.112865249468    All      -0.0002385539726256096    5.952109496694884e-06      -0.0004823906396940142     5.811679624893308e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7803.243639646931    All      6.516202578075457e-06     -1.9571568657670394e-06    3.202250592170083e-06      -2.617150199581497e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5350.925111851572    All      6.199852534312744e-05     2.8307525813847248e-05     5.644300631123232e-05      -8.455474809329432e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5353.592566744373    All      -7.733642054048531e-05    6.52550738394075e-05       -0.0015144298713446577     -2.113530879293984e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6504.394059162744    All      -6.302072221521121e-05    3.950443195116755e-06      -2.8704434838565124e-05    2.0533764767897245e-05     
MWEBV         All|All|All                                      All                  All      -0.8196201653940935       -4.060585187867094         0.05268649162528671        -1.053337776260696         
Redshift      All|All|All                                      All                  All      3.185955795964234         -0.7603906414163752        0.6269399264027253         -1.2574774161118685        
