#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4358.226067686835    All      -0.25640600593702034      0.1857006873823508        0.1007790107912365        0.14850599928266142        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                   4366.073443297826    All      -0.8751864052319253       0.5964802507988587        -0.12088334835434277      0.47397577762418214        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                   7873.011298442091    All      0.2853862264228044        -0.06326669736376189      0.10917829651370523       -0.10869560168214616       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                   6351.112865249468    All      0.8909113679661005        -0.11192049690427197      -0.15830479013429974      -0.33371974629275947       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7803.243639646931    All      0.13980921841813315       -0.027253958083139906     0.11247890307214121       -0.04939855595452434       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5350.925111851572    All      0.17979618988613172       0.11953390052736879       0.23850550114328203       -0.00898600511470139       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                   5353.592566744373    All      0.37869797296320806       0.3188419260619746        -0.4242276481883446       -0.03842841521271553       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6504.394059162744    All      0.2545888400171303        -0.021168762190715285     0.14367956933652928       -0.08341156391164205       
Check         All|All|All                                      All                  All      0.9975974045045625        0.9969468502286638        0.0012054941799071461     -0.00015811126164538836    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4358.226067686835    All      -6.228573587002278e-05    4.041862700961073e-05     1.9408633337019363e-07    3.346285104472483e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                   4366.073443297826    All      -0.0003106956276978051    9.994650844321206e-05     -0.0007173664461263483    0.00010174688372042588     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                   7873.011298442091    All      1.8282117633480033e-05    2.4936646569414048e-06    0.00012318475161883076    3.5435113851504483e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                   6351.112865249468    All      -0.0003020567834396208    9.072078867464707e-06     -0.0005850792962585056    7.523550446894796e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7803.243639646931    All      4.069439798878999e-06     -7.677232856116003e-07    3.583576868899131e-06     -1.4157045776714719e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5350.925111851572    All      3.764249151706037e-05     2.3320380454098398e-05    4.82482532640698e-05      -2.5120848097017637e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                   5353.592566744373    All      -2.420470989328592e-05    5.497447491894176e-06     -0.0014234592858539117    -5.384748038332437e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6504.394059162744    All      -8.113985102380707e-05    7.105376416988038e-06     -4.70439299327972e-05     2.6645019231270978e-05     
MWEBV         All|All|All                                      All                  All      -0.829359242689327        -4.055114885570976        0.04893701083985018       -1.0485509030607785        
Redshift      All|All|All                                      All                  All      3.2002718026336803        -0.017859898458727486     0.6938651714404803        -1.0172873526400854        
