#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6223.416128065786    All      1.521475806599363          -0.0008953873089634357     0.11851203400095045        -0.4905977346091845       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7551.968922678377    All      0.7337794583807389         -0.20848025211694932       0.1797852920924159         -0.29890199527069294      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4721.076946670797    All      -1.2699727305893886        1.2229739400541284         -0.356051652695033         0.7961457961642663        
Check         All|All|All                      All                  All      0.9852825343907134         1.0135983006282157         -0.05775432660166668       0.006646066284388907      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6223.416128065786    All      -0.00010564608773349004    -5.227435616766773e-05     -2.3060234209358185e-05    1.6355856507863273e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7551.968922678377    All      -8.947030794029494e-05     -1.5388944516393468e-05    -0.00023778735328613515    1.3519379812280441e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4721.076946670797    All      -0.0004170447314875028     0.00017717407350257005     -0.0007361920617782847     0.000160703743493957      
MWEBV         All|All|All                      All                  All      -0.8890528801812532        -4.136694625754167         -0.020385489245278166      -1.0587734715307873       
Redshift      All|All|All                      All                  All      7.537807880240674          1.6238619164776757         -0.567986994349523         -1.9517134143286266       
