#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6223.416128065786    All      1.6077450309659003         -0.11361994933591912      0.045717293276759295       -0.5586650524830304       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7551.968922678377    All      0.5282917011214193         -0.10297828993051095      0.04553734825001106        -0.20359328154452078      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4721.076946670797    All      -1.1404160962369603        1.2170439967592817        -0.08886081998952403       0.7639368601490806        
Check         All|All|All                      All                  All      0.9956206358503593         1.0004457574928516        0.002393821537246321       0.0016785261215293001     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6223.416128065786    All      -0.00019186554971927948    -6.561886159611405e-06    -0.00011321019424574927    5.530744851726398e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7551.968922678377    All      -8.540928727147502e-05     8.151236749051506e-06     -7.824659007330196e-05     2.6983954781916668e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4721.076946670797    All      -0.0001687498289702584     8.867736283233624e-05     -0.0008038264540351642     4.798142267093718e-05     
MWEBV         All|All|All                      All                  All      -0.8764800161555244        -4.1266216108120535       0.002702816595447542       -1.0585574295709943       
Redshift      All|All|All                      All                  All      7.645069526852732          0.8085962036744831        -0.878023799001098         -2.2660464441828663       
