#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6446.249065469418     All      0.12253546122528995       0.016617423696274614       0.009371351255560434      -0.03408278905765588       
Zeropoint     AB|SDSS|SDSS_r            4471.068556163378     All      0.6029727382459654        0.5153236270597716         -0.18332449364918957      -0.036731129256069306      
Zeropoint     AB|SDSS|SDSS_i            5421.9520875443       All      1.2424727078513853        0.2991115485855289         0.6201742046148428        -0.27960823883831365       
Zeropoint     AB|SDSS|SDSS_g            3421.6460860859984    All      -0.9702472768165231       0.16752235402446303        -0.44348578996802335      0.35081826632422375        
Check         All|All|All               All                   All      0.9977336305061176        0.9985749533660382         0.0027352722531903684     0.0003961091721849108      
Lambda        AB|SDSS|SDSS_z            6446.249065469418     All      -2.438510452107787e-05    -7.149475319664061e-07     2.329853314953284e-05     8.749855384559435e-06      
Lambda        AB|SDSS|SDSS_r            4471.068556163378     All      -0.0004421995116890921    -0.00028850054352390803    -0.0022255748255874215    -4.925237229325495e-05     
Lambda        AB|SDSS|SDSS_i            5421.9520875443       All      4.3369058785679474e-05    -9.862348760180418e-05     -0.0016034407537207633    -0.00011780584027597012    
Lambda        AB|SDSS|SDSS_g            3421.6460860859984    All      -0.0016635499067278708    0.0002367536352560087      -0.0009447163797142735    0.0005768330286524509      
MWEBV         All|All|All               All                   All      -0.6659412513347509       -2.604826827936435         0.009605162173415005      -0.631130185467077         
Redshift      All|All|All               All                   All      4.18679176318525          1.3148303166486741         2.3409593157019124        -0.8310260652395485        
