#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            6446.249065469418     All      0.1365857481550997        0.006246951979704818       -0.08583195270473694      -0.04628591977066575       
Zeropoint     AB|SDSS|SDSS_r            4471.068556163378     All      0.40653423062924066       0.5335921516529396         0.09157408927743156       0.045473475978731956       
Zeropoint     AB|SDSS|SDSS_i            5421.9520875443       All      1.3648954651531917        0.2744204219096602         0.1861792760852075        -0.3468952711465336        
Zeropoint     AB|SDSS|SDSS_g            3421.6460860859984    All      -0.9143937301095308       0.18456282501091437        -0.18972471319840054      0.3494997620235389         
Check         All|All|All               All                   All      0.9936217138280012        0.998822350553219          0.0021966994595016        0.0017920470850714687      
Lambda        AB|SDSS|SDSS_z            6446.249065469418     All      -3.705782971380561e-05    -5.925934024124147e-06     -3.538633765827797e-05    8.561552908956802e-06      
Lambda        AB|SDSS|SDSS_r            4471.068556163378     All      -0.0002950862478730993    -0.00023361543287898798    -0.0020783509052787236    -7.272418860881886e-05     
Lambda        AB|SDSS|SDSS_i            5421.9520875443       All      0.00023333700071580276    -2.407983353244139e-05     -0.0008977493677301488    -0.00012391156274504058    
Lambda        AB|SDSS|SDSS_g            3421.6460860859984    All      -0.0018684353900653582    0.00027275817152016906     -0.0010726190255835421    0.0006495911254334143      
MWEBV         All|All|All               All                   All      -0.6033945855066931       -2.6090511778754433        0.017454201269438436      -0.6525294354380577        
Redshift      All|All|All               All                   All      3.6484195810878783        0.881561860069624          1.3826500417400893        -0.8395552655699877        
