#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3097.358511216029    All      -0.22824625698004147       0.029661332198749335       0.0030682062888004458      0.08414590665809657       
Zeropoint     AB|MEGACAMPSF|z           5573.673624301291    All      0.767525069668351          0.08561942213773932        0.10274152573638284        -0.2175342210113118       
Zeropoint     AB|MEGACAMPSF|r           3953.844598391112    All      -1.0462767353272455        0.33504096299505903        -0.7497030090168166        0.41648481631498396       
Zeropoint     AB|MEGACAMPSF|i           4833.542161852709    All      1.5429042638414423         0.5377330815525383         0.5708297547828922         -0.3019438129914162       
Check         All|All|All               All                  All      1.0359063412025062         0.988054798884086          -0.07306352220874113       -0.018847311029647484     
Lambda        AB|MEGACAMPSF|g           3097.358511216029    All      -0.0008332011806156998     9.715570118549775e-05      -0.00017791954646765866    0.0002951081120309864     
Lambda        AB|MEGACAMPSF|z           5573.673624301291    All      -0.00020345297741320947    -4.039713149569985e-05     -0.00022352332191611483    4.3137834141694435e-05    
Lambda        AB|MEGACAMPSF|r           3953.844598391112    All      -0.0009639025764712266     0.00015811717923375828     -0.0016380883609724865     0.0002923783877041545     
Lambda        AB|MEGACAMPSF|i           4833.542161852709    All      -0.0003911381867104971     -0.00016781892844210255    -0.0015562289762413705     3.2950776948947046e-06    
MWEBV         All|All|All               All                  All      -0.35968478488042677       -2.1286330659675556        0.2359713801303176         -0.5656743329020442       
Redshift      All|All|All               All                  All      3.419191348424561          0.6088768780818654         4.043960448931366          -0.7349484979931916       
