#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|g           3097.358511216029    All      -0.3364309463229578        0.05141724625055133        0.1213843220403772         0.13175174094235856        
Zeropoint     AB|MEGACAMPSF|z           5573.673624301291    All      0.8248993935102165         0.08007832763752276        -0.018857240877726784      -0.24345423709216363       
Zeropoint     AB|MEGACAMPSF|r           3953.844598391112    All      -1.1191232560422182        0.34243265206068685        -0.6969166919876063        0.44497665188944724        
Zeropoint     AB|MEGACAMPSF|i           4833.542161852709    All      1.6162514396075545         0.5260083840253671         0.6041112517538617         -0.3281693205511102        
Check         All|All|All               All                  All      0.985596630752595          0.999936609974128          0.009721640928905817       0.005104835188531942       
Lambda        AB|MEGACAMPSF|g           3097.358511216029    All      -0.00099242401772695       0.00013643511238316578     0.00017305314271896962     0.00037542912399433703     
Lambda        AB|MEGACAMPSF|z           5573.673624301291    All      -0.00021618412322202575    -3.1148946483212254e-05    -0.00016676141328899314    5.283024857271057e-05      
Lambda        AB|MEGACAMPSF|r           3953.844598391112    All      -0.0010282509375621482     0.00024120914047796543     -0.0012617212198134913     0.0003572000882494024      
Lambda        AB|MEGACAMPSF|i           4833.542161852709    All      -0.00028281340219528416    -0.00012546592274382466    -0.0014104635864047087     -1.1689261200646769e-05    
MWEBV         All|All|All               All                  All      -0.34198619444543477       -2.1406989333337734        0.1452768495731857         -0.5794168763833265        
Redshift      All|All|All               All                  All      3.282984334645028          0.25974756843716307        2.3297479399290464         -0.880801725875435         
