#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6543.735640084451    All      0.14949037774333296       0.01026641998347344        -0.0519432939989811       -0.047667814018801276     
Zeropoint     AB|SDSS|SDSS_i            5503.948226907407    All      1.3334585828422763        0.25441495154403526        -0.03814549100962         -0.35318226826272275      
Zeropoint     AB|SDSS|SDSS_g            3473.391613304961    All      -0.9475529326421916       0.2227196877681692         -0.3205231441085656       0.3668928174812663        
Zeropoint     AB|SDSS|SDSS_r            4538.684491257193    All      0.45970058360458194       0.5112654912258208         0.4109748851955767        0.03513630843421265       
Check         All|All|All               All                  All      0.9950966115479992        0.9986665505214987         0.00036295607840997057    0.001179043633954914      
Lambda        AB|SDSS|SDSS_z            6543.735640084451    All      -4.783715973908617e-05    -7.913517459045043e-06     -5.330070886744256e-05    1.062587790397443e-05     
Lambda        AB|SDSS|SDSS_i            5503.948226907407    All      2.1992120803071026e-05    -5.7779606508657543e-05    -0.0010104655642386873    -7.107671322880415e-05    
Lambda        AB|SDSS|SDSS_g            3473.391613304961    All      -0.0019326047451882712    0.0003145100576131477      -0.0015043130463269518    0.0006648286369559045     
Lambda        AB|SDSS|SDSS_r            4538.684491257193    All      -0.000354846113649482     -0.00025223170551714693    -0.0022755398091534058    -6.812200186373991e-05    
MWEBV         All|All|All               All                  All      -0.5917579831010835       -2.661638178203418         0.0036319912208605874     -0.6740659974935104       
Redshift      All|All|All               All                  All      7.038871131080654         0.9810182566017289         8.225196308480902         -1.606189244370372        
