#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3709.080823725534    All      -2.3191290195650525       0.19357540131963447        -0.18047879584059534       0.8104165556529399        
Zeropoint     AB|MEGACAMPSF|i           4534.763189901281    All      2.661190962432528         0.7294307858558113         0.004646472310759853       -0.6290304918143786       
Zeropoint     AB|MEGACAMPSF|z           5228.850195134297    All      0.6638565416072767        0.07685222897002575        0.17848495962363692        -0.1832416524979846       
Check         All|All|All               All                  All      1.005918484474752         0.9998584161454716         0.002652636093801425       -0.0018555886594233406    
Lambda        AB|MEGACAMPSF|r           3709.080823725534    All      -0.0038601146822201562    0.00020029475972265933     -0.001842190706520182      0.001240400428387476      
Lambda        AB|MEGACAMPSF|i           4534.763189901281    All      -0.0005552057530574354    -0.00022921721337159173    -0.002163390758627504      9.642998616897635e-06     
Lambda        AB|MEGACAMPSF|z           5228.850195134297    All      0.00017005526522891097    1.4538631127227957e-05     -4.0914569854877134e-05    -5.248271341101016e-05    
MWEBV         All|All|All               All                  All      -0.18210586361585812      -1.9656143192550601        0.02506818698651533        -0.5798287016358468       
Redshift      All|All|All               All                  All      11.871504587298155        1.3551476079484814         2.6366126045122766         -3.307863535026544        
