#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I        7895.695071166338    All      0.19516122986543366        -0.04618284798239003       0.04399516332396214        -0.07665040406268434       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V        5345.007336292772    All      0.03426499420098641        0.04211815628414328        -0.0028588711277865997     0.002430454963729678       
Zeropoint     AB|PS|PS_z                            8650.931521518789    All      0.09867011610320267        -0.02815339969788333       -0.007810490969495376      -0.04165913780583286       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I        8231.431486791624    All      0.09347404774673963        -0.01979688954159009       0.039447941569981104       -0.0351356903235317        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B        4330.357315332906    All      -0.19325321291509948       0.11149705162920576        -0.11931456704790122       0.0939427260126198         
Zeropoint     AB|PS|PS_i                            7527.497615947296    All      0.09327740310565084        -0.02161703911669477       0.01436057771977417        -0.0367840531188067        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B        4457.36563774004     All      -0.7372633402837601        0.4978222808288191         -0.1796803668644653        0.39428971037529237        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R        6372.518378826614    All      0.6057572224375825         -0.08604192890095952       0.039462074772211864       -0.22358073195268696       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V        5390.771569564013    All      0.2593866296498855         0.18263526647324113        -0.06970270664337086       -0.028110955696021567      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R        6370.173443220413    All      0.1789649196084159         -0.02526303109902095       0.005435305465528728       -0.0662812097259477        
Zeropoint     AB|PS|PS_g                            4893.823644410224    All      -0.2399451382304485        0.3038649518003034         0.16566751403697122        0.18452981741166677        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5479.179378152298    All      0.27559501599161806        0.12991942125974987        0.06723383659734683        -0.04445099645538492       
Zeropoint     AB|PS|PS_r                            6214.823806696266    All      0.33258555458537503        -0.044403163243345034      0.004679376860439177       -0.12258880885955697       
Check         All|All|All                           All                  All      0.996675441865582          0.9963988286935788         0.0009147876931958621      -4.927923714506677e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I        7895.695071166338    All      1.1164919610231525e-05     -8.362865967683325e-07     2.5324387048638846e-05     -2.7790766062984803e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V        5345.007336292772    All      -3.7804573359499953e-06    9.845444574676231e-06      1.2532714359362877e-06     4.4943322792669376e-06     
Lambda        AB|PS|PS_z                            8650.931521518789    All      2.4122472099322045e-05     -1.1276927601977838e-05    -2.9911616632533228e-05    -1.2865567159595092e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I        8231.431486791624    All      -9.916290163284138e-06     2.7772924799647964e-06     1.0975705864887235e-06     4.183697007686609e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B        4330.357315332906    All      -8.117247706873532e-05     2.603754256271073e-05      -0.00014794406549591545    2.831976633827545e-05      
Lambda        AB|PS|PS_i                            7527.497615947296    All      -1.5606491255147556e-05    2.400696721623257e-06      -1.118854559475554e-05     5.366240140159383e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B        4457.36563774004     All      -0.0002818518958528927     9.363083597342478e-06      -0.001128500848757515      4.449848963207023e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R        6372.518378826614    All      -0.0001518240381801495     5.681736504824387e-06      -0.0001430834619651782     4.491965485203404e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V        5390.771569564013    All      6.590727138466965e-05      -4.854315469092128e-05     -0.000708586167802358      -6.890121533046058e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R        6370.173443220413    All      -3.0793480949183936e-05    4.303623053880188e-06      -1.046699023486298e-05     1.0965187733188242e-05     
Lambda        AB|PS|PS_g                            4893.823644410224    All      2.8518607323550676e-05     -4.811866007705174e-05     -0.00019423135219753438    -3.3630932459825616e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5479.179378152298    All      -8.903204453930018e-05     2.280522952853344e-05      -0.00016705419376671852    2.8974218085274653e-05     
Lambda        AB|PS|PS_r                            6214.823806696266    All      -5.823030674956171e-05     8.010484740142228e-06      -6.54439186388063e-06      2.1284758893925828e-05     
MWEBV         All|All|All                           All                  All      -0.8252146107255904        -4.136034469046557         0.023194570366014133       -1.077407883446522         
Redshift      All|All|All                           All                  All      3.799653147860386          0.680767480504807          2.7116821311760075         -0.8949137509395654        
